"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","extinctionTime","totalTime","survivalTime","pathInv"
"1",0.2,0.001,1,140.233333333333,0,10,2,9,100,8e+05,43.7170514566647,126.334784484159,2.50321318478093,47
"2",0.3,0.001,2,125.3,5.96666666666667,10,2,9,100,8e+05,NA,127.217609625504,NA,109
"3",0.2,0.001,1,135.6,0,10,2,9,100,8e+05,92.2011973199898,126.769310613531,50.6333916334169,53
"4",0.3,0.001,2,129.066666666667,5.03333333333333,10,2,9,100,8e+05,NA,121.145320861361,NA,98
"5",0.2,0.001,2,135.166666666667,0,10,2,9,100,8e+05,NA,125.232042960253,NA,55
"6",0.3,0.001,2,108.366666666667,8.26666666666667,10,2,9,100,8e+05,NA,118.803559100699,NA,129
"7",0.2,0.001,1,136.066666666667,0,10,2,9,100,8e+05,49.8931515053838,126.451647564579,8.78562599314159,57
"8",0.3,0.001,2,126.966666666667,3.1,10,2,9,100,8e+05,NA,119.449411242496,NA,72
"9",0.2,0.001,1,137.233333333333,0,10,2,9,100,8e+05,48.0031557496554,128.014033381878,6.12769549270704,61
"10",0.3,0.001,2,122.833333333333,4.66666666666667,10,2,9,100,8e+05,NA,124.157162585451,NA,84
"11",0.2,0.001,1,140.466666666667,0,10,2,9,100,8e+05,45.3994997371895,128.472211372377,2.89172403020312,50
"12",0.3,0.001,1,138.7,0,10,2,9,100,8e+05,43.6361021019109,124.393957717574,2.48928021582706,39
"13",0.2,0.001,1,138.5,0,10,2,9,100,8e+05,44.5668378265568,126.691255066487,2.68464730319567,65
"14",0.3,0.001,2,119.633333333333,5.7,10,2,9,100,8e+05,NA,122.723120280612,NA,99
"15",0.2,0.001,1,136.433333333333,0,10,2,9,100,8e+05,41.4111684451773,118.439166175129,2.96811569985962,37
"16",0.3,0.001,2,135.866666666667,2.3,10,2,9,100,8e+05,NA,134.276131305815,NA,56
"17",0.2,0.001,1,140.4,0,10,2,9,100,8e+05,45.4378447282255,127.680304285992,3.25437395468669,49
"18",0.3,0.001,2,116,4.93333333333333,10,2,9,100,8e+05,NA,120.391108381249,NA,110
"19",0.2,0.001,1,149.066666666667,0,10,2,9,100,8e+05,65.5648647581445,128.412440013488,23.094082290367,54
"20",0.3,0.001,2,133.366666666667,1.5,10,2,9,100,8e+05,NA,124.81577526676,NA,46
"21",0.2,0.001,1,140.633333333333,0,10,2,9,100,8e+05,42.5051040154897,123.436594615871,2.11292850171623,53
"22",0.3,0.001,2,119.4,5.93333333333333,10,2,9,100,8e+05,NA,126.969152429654,NA,94
"23",0.2,0.001,2,136.633333333333,2.06666666666667,10,2,9,100,8e+05,NA,124.877672372089,NA,75
"24",0.3,0.001,2,133.366666666667,2.1,10,2,9,100,8e+05,NA,136.215464287508,NA,47
"25",0.2,0.001,1,146.466666666667,0,10,2,9,100,8e+05,42.7194420180111,119.253010477819,2.61056998807834,46
"26",0.3,0.001,2,130.566666666667,4.23333333333333,10,2,9,100,8e+05,NA,118.479348231975,NA,92
"27",0.2,0.001,2,131.533333333333,1.46666666666667,10,2,9,100,8e+05,NA,126.379257577501,NA,75
"28",0.3,0.001,2,106.8,6.56666666666667,10,2,9,100,8e+05,NA,121.816958556015,NA,96
"29",0.2,0.001,1,148.933333333333,0,10,2,9,100,8e+05,48.1423124195117,129.935609178401,5.06694340760873,45
"30",0.3,0.001,2,137.733333333333,1.43333333333333,10,2,9,100,8e+05,NA,132.068520085223,NA,47
"31",0.2,0.001,1,135.866666666667,0,10,2,9,100,8e+05,47.9468117043128,127.728730862649,6.26233956779921,67
"32",0.3,0.001,2,133.766666666667,2.46666666666667,10,2,9,100,8e+05,NA,121.384154704511,NA,69
"33",0.2,0.001,1,141.933333333333,0,10,2,9,100,8e+05,55.7314130314048,131.489163360058,11.8786850504289,55
"34",0.3,0.001,2,122.1,3.53333333333333,10,2,9,100,8e+05,NA,114.921698189049,NA,67
"35",0.2,0.001,2,138.066666666667,0,10,2,9,100,8e+05,NA,119.05355281158,NA,50
"36",0.3,0.001,2,121.633333333333,5.06666666666667,10,2,9,100,8e+05,NA,128.303283113987,NA,91
"37",0.2,0.001,1,149.2,0,10,2,9,100,8e+05,42.2622964595793,125.123652204757,1.17537779154474,52
"38",0.3,0.001,2,129.8,1.83333333333333,10,2,9,100,8e+05,NA,122.873171642173,NA,52
"39",0.2,0.001,1,136.166666666667,0,10,2,9,100,8e+05,44.7145508517558,129.579396658103,2.45102493539484,52
"40",0.3,0.001,2,110.1,10.1333333333333,10,2,9,100,8e+05,NA,120.214816665862,NA,123
"41",0.2,0.001,1,148.833333333333,0,10,2,9,100,8e+05,41.9342147233908,120.526548329474,2.28663648706119,51
"42",0.3,0.001,2,113.566666666667,7.16666666666667,10,2,9,100,8e+05,NA,121.962706269059,NA,112
"43",0.2,0.001,1,138.933333333333,0,10,2,9,100,8e+05,113.39465376582,127.3069391203,71.3818104779028,54
"44",0.3,0.001,2,131.033333333333,2.76666666666667,10,2,9,100,8e+05,NA,124.956351099472,NA,60
"45",0.2,0.001,1,147.3,0,10,2,9,100,8e+05,44.6818250674323,121.39306792881,4.52206500344706,62
"46",0.3,0.001,2,124.7,2.86666666666667,10,2,9,100,8e+05,NA,124.058623383779,NA,61
"47",0.2,0.001,1,147.4,0,10,2,9,100,8e+05,47.0465524101238,123.001854578049,6.13406218134146,61
"48",0.3,0.001,2,129.4,4.73333333333333,10,2,9,100,8e+05,NA,121.551437370043,NA,83
"49",0.2,0.001,1,143,0,10,2,9,100,8e+05,40.6480963625797,110.677637479174,3.66502321316864,52
"50",0.3,0.001,2,77.4333333333333,18.1,10,2,9,100,8e+05,NA,114.697335655847,NA,244
"51",0.2,0.001,1,147.9,0,10,2,9,100,8e+05,43.7016427726013,122.165788757547,2.94268440315332,58
"52",0.3,0.01,1,139.666666666667,0,10,2,9,100,8e+05,42.1010854577521,119.841572138066,2.09745866241953,36
"53",0.2,0.01,1,141.533333333333,0,10,2,9,100,8e+05,116.949838211284,120.533420395606,76.7524906377376,55
"54",0.3,0.01,1,147.4,0,10,2,9,100,8e+05,41.7003951394531,122.986720657335,0.645536509419237,46
"55",0.2,0.01,1,142.766666666667,0,10,2,9,100,8e+05,45.2252986511831,120.818044152768,5.41216403254339,69
"56",0.3,0.01,2,58,22.1333333333333,10,2,9,100,8e+05,NA,104.031408075363,NA,278
"57",0.2,0.01,2,96.0666666666667,11.9,10,2,9,100,8e+05,NA,108.157158616507,NA,178
"58",0.3,0.01,2,60.0666666666667,23.2333333333333,10,2,9,100,8e+05,NA,109.941394706956,NA,278
"59",0.2,0.01,2,121.666666666667,3.8,10,2,9,100,8e+05,NA,115.193448158501,NA,84
"60",0.3,0.01,2,66.4333333333333,24.1,10,2,9,100,8e+05,NA,111.693629169655,NA,294
"61",0.2,0.01,2,90.9666666666667,10.1333333333333,10,2,9,100,8e+05,NA,116.72825756137,NA,166
"62",0.3,0.01,2,62.7333333333333,21.7333333333333,10,2,9,100,8e+05,NA,115.581728787237,NA,273
"63",0.2,0.01,2,108.066666666667,8.5,10,2,9,100,8e+05,NA,106.692040210684,NA,130
"64",0.3,0.01,2,60.2,22.6,10,2,9,100,8e+05,NA,111.347575359758,NA,265
"65",0.2,0.01,2,90.4666666666667,12.3,10,2,9,100,8e+05,NA,126.60925940621,NA,192
"66",0.3,0.01,2,58.7333333333333,21.1,10,2,9,100,8e+05,NA,119.476868539046,NA,257
"67",0.2,0.01,1,143.766666666667,0,10,2,9,100,8e+05,43.2333875845567,123.204636489929,2.35865643220544,56
"68",0.3,0.01,2,61.2333333333333,19.3666666666667,10,2,9,100,8e+05,NA,105.799718890124,NA,238
"69",0.2,0.01,1,141.966666666667,0,10,2,9,100,8e+05,118.214629969976,119.020847595957,78.5240921051682,44
"70",0.3,0.01,2,61.4333333333333,20.2,10,2,9,100,8e+05,NA,115.199312725171,NA,248
"71",0.2,0.01,2,123.633333333333,3.26666666666667,10,2,9,100,8e+05,NA,112.987061633373,NA,83
"72",0.3,0.01,2,66.7,19.0333333333333,10,2,9,100,8e+05,NA,112.525506492161,NA,250
"73",0.2,0.01,1,135.766666666667,0,10,2,9,100,8e+05,41.229651596294,119.632425436636,1.91727068347485,67
"74",0.3,0.01,2,64.6333333333333,21.1333333333333,10,2,9,100,8e+05,NA,109.714306438821,NA,265
"75",0.2,0.01,1,137.9,0,10,2,9,100,8e+05,111.191337346061,123.287005083647,70.5787936432857,55
"76",0.3,0.01,2,63.0333333333333,20.6333333333333,10,2,9,100,8e+05,NA,119.155080735913,NA,277
"77",0.2,0.01,1,145.433333333333,0,10,2,9,100,8e+05,43.3632179976865,119.419808169558,3.7668790713532,65
"78",0.3,0.01,2,59.7666666666667,18.7666666666667,10,2,9,100,8e+05,NA,112.912633912378,NA,242
"79",0.2,0.01,1,145.066666666667,0,10,2,9,100,8e+05,40.4913987240968,120.340726352817,0.660978868994185,58
"80",0.3,0.01,2,66.0333333333333,17.7333333333333,10,2,9,100,8e+05,NA,118.49053987116,NA,226
"81",0.2,0.01,1,145.333333333333,0,10,2,9,100,8e+05,43.2862479749765,127.793252461538,1.0428862698247,51
"82",0.3,0.01,2,68.6666666666667,18.5333333333333,10,2,9,100,8e+05,NA,116.499762898765,NA,245
"83",0.2,0.01,1,143,0,10,2,9,100,8e+05,48.3826200102338,131.468284232124,4.77832513217567,59
"84",0.3,0.01,2,62.6666666666667,18.9666666666667,10,2,9,100,8e+05,NA,110.05872756089,NA,220
"85",0.2,0.01,1,138.5,0,10,2,9,100,8e+05,42.273644524071,121.981791980739,1.97631220371458,57
"86",0.3,0.01,2,63.1,22.9,10,2,9,100,8e+05,NA,110.994748782255,NA,298
"87",0.2,0.01,2,102.166666666667,10.4,10,2,9,100,8e+05,NA,116.43283773837,NA,192
"88",0.3,0.01,2,58.9,19.7333333333333,10,2,9,100,8e+05,NA,110.313163683908,NA,260
"89",0.2,0.01,1,149.966666666667,0,10,2,9,100,8e+05,50.6750375743916,118.297448085093,11.2959699538505,50
"90",0.3,0.01,2,61.9,21.7,10,2,9,100,8e+05,NA,106.518613163283,NA,255
"91",0.2,0.01,2,93.6666666666667,16.4333333333333,10,2,9,100,8e+05,NA,109.233457450143,NA,214
"92",0.3,0.01,2,59.9,21.5,10,2,9,100,8e+05,NA,114.267262158239,NA,267
"93",0.2,0.01,1,131.166666666667,0,10,2,9,100,8e+05,53.0574281391954,119.563856954839,13.8323214749581,51
"94",0.3,0.01,2,61.6,19.9333333333333,10,2,9,100,8e+05,NA,120.998985057891,NA,250
"95",0.2,0.01,2,110.766666666667,7.43333333333333,10,2,9,100,8e+05,NA,116.687568964939,NA,145
"96",0.3,0.01,2,63.6,20.3666666666667,10,2,9,100,8e+05,NA,111.490602209516,NA,272
"97",0.2,0.01,1,145.033333333333,0,10,2,9,100,8e+05,51.6040045567597,120.059328123629,11.9631316170905,50
"98",0.3,0.01,2,64.8666666666667,17.8,10,2,9,100,8e+05,NA,110.038610467369,NA,231
"99",0.2,0.01,1,140.533333333333,0,10,2,9,100,8e+05,39.1471925810265,116.025983198995,1.07840426570056,55
"100",0.3,0.01,2,61.5333333333333,21.7,10,2,9,100,8e+05,NA,112.415373428413,NA,230
"101",0.2,0.01,1,139.566666666667,0,10,2,9,100,8e+05,40.0445416826479,117.551688912383,1.09505489724847,66
"102",0.3,0.01,2,65.4,19.8,10,2,9,100,8e+05,NA,116.313179539828,NA,250
"103",0.2,0.1,2,73.9666666666667,18.4,10,2,9,100,8e+05,NA,81.8034771909465,NA,234
"104",0.3,0.1,2,54.0333333333333,22.3666666666667,10,2,9,100,8e+05,NA,80.3832795456599,NA,261
"105",0.2,0.1,1,134.9,0,10,2,9,100,8e+05,30.245153539566,81.8065091949782,3.16672988844991,59
"106",0.3,0.1,2,59.3333333333333,22.6666666666667,10,2,9,100,8e+05,NA,78.9407761324718,NA,275
"107",0.2,0.1,1,148.633333333333,0,10,2,9,100,8e+05,30.2053144261458,82.8194750841154,2.65906600158348,42
"108",0.3,0.1,2,60.2333333333333,21.2333333333333,10,2,9,100,8e+05,NA,78.3681874684809,NA,258
"109",0.2,0.1,2,79.2666666666667,19.7,10,2,9,100,8e+05,NA,78.7681330200026,NA,250
"110",0.3,0.1,2,62.6666666666667,20.2,10,2,9,100,8e+05,NA,78.0710253722754,NA,262
"111",0.2,0.1,1,139.933333333333,0,10,2,9,100,8e+05,29.4925076818993,85.4834946762485,1.36815916979426,62
"112",0.3,0.1,2,64,19.6666666666667,10,2,9,100,8e+05,NA,80.0596216619855,NA,256
"113",0.2,0.1,1,145.4,0,10,2,9,100,8e+05,30.6933953526419,87.7806607876969,1.74929421635733,41
"114",0.3,0.1,2,62.9666666666667,22.8666666666667,10,2,9,100,8e+05,NA,76.8196501125106,NA,267
"115",0.2,0.1,1,138.266666666667,0,10,2,9,100,8e+05,31.6861656141077,88.2743184348636,2.87269343976243,46
"116",0.3,0.1,2,57.3666666666667,20.8,10,2,9,100,8e+05,NA,74.3895978690557,NA,263
"117",0.2,0.1,1,143.8,0,10,2,9,100,8e+05,36.1373773889283,85.0045355449523,8.16281777178768,68
"118",0.3,0.1,2,64.7666666666667,16.2333333333333,10,2,9,100,8e+05,NA,81.7592314327538,NA,226
"119",0.2,0.1,2,76.6,14.4666666666667,10,2,9,100,8e+05,NA,79.184020594829,NA,202
"120",0.3,0.1,2,60.2,18.9666666666667,10,2,9,100,8e+05,NA,75.6931410642123,NA,255
"121",0.2,0.1,2,83.6,16.8,10,2,9,100,8e+05,NA,76.5270531487519,NA,234
"122",0.3,0.1,2,58.5666666666667,22.6,10,2,9,100,8e+05,NA,76.8876784847098,NA,283
"123",0.2,0.1,1,142.833333333333,0,10,2,9,100,8e+05,42.2514541106148,76.7406364222424,16.8246281100794,66
"124",0.3,0.1,2,61.5333333333333,20.2,10,2,9,100,8e+05,NA,76.2648758039863,NA,239
"125",0.2,0.1,1,149.666666666667,0,10,2,9,100,8e+05,31.0610388041997,80.068541742617,4.3702517692634,55
"126",0.3,0.1,1,141.533333333333,0,10,2,9,100,8e+05,29.7080402116338,83.2258789117549,2.19777767934618,29
"127",0.2,0.1,1,149.866666666667,0,10,2,9,100,8e+05,31.4226011418564,87.9310782268738,2.49294735190717,50
"128",0.3,0.1,2,58.6333333333333,21.7666666666667,10,2,9,100,8e+05,NA,78.7103375991723,NA,263
"129",0.2,0.1,1,136.466666666667,0,10,2,9,100,8e+05,30.8651005121511,88.1877465447031,1.99993408108775,64
"130",0.3,0.1,2,63.3666666666667,19.2333333333333,10,2,9,100,8e+05,NA,74.9126809646589,NA,236
"131",0.2,0.1,2,71.8,16.9,10,2,9,100,8e+05,NA,81.1156214614615,NA,234
"132",0.3,0.1,2,62.1333333333333,19.6666666666667,10,2,9,100,8e+05,NA,80.1604703323132,NA,256
"133",0.2,0.1,1,139.766666666667,0,10,2,9,100,8e+05,35.9310483085543,81.3253126614868,9.38506788446978,54
"134",0.3,0.1,2,64.0666666666667,20.4,10,2,9,100,8e+05,NA,82.8171051975689,NA,231
"135",0.2,0.1,2,86.8333333333333,14.1333333333333,10,2,9,100,8e+05,NA,80.2443850833275,NA,190
"136",0.3,0.1,2,59.4,20.6333333333333,10,2,9,100,8e+05,NA,76.3963793365836,NA,258
"137",0.2,0.1,2,76.1333333333333,18,10,2,9,100,8e+05,NA,81.421176474712,NA,247
"138",0.3,0.1,2,62.5,17.7333333333333,10,2,9,100,8e+05,NA,82.6527960053272,NA,201
"139",0.2,0.1,2,81.5666666666667,14.4,10,2,9,100,8e+05,NA,77.953614138183,NA,216
"140",0.3,0.1,2,60.1333333333333,21.1,10,2,9,100,8e+05,NA,78.8810793590212,NA,270
"141",0.2,0.1,1,145.733333333333,0,10,2,9,100,8e+05,30.4879554733174,83.6885686838939,2.58629209455465,48
"142",0.3,0.1,2,61.9333333333333,20.6,10,2,9,100,8e+05,NA,79.6224335801149,NA,257
"143",0.2,0.1,2,86.2,16.8666666666667,10,2,9,100,8e+05,NA,80.3205431465788,NA,227
"144",0.3,0.1,1,144.366666666667,0,10,2,9,100,8e+05,28.4095955161307,81.5705058975214,1.6342545358644,32
"145",0.2,0.1,1,138.333333333333,0,10,2,9,100,8e+05,32.6459145750015,81.9612382687113,5.46123845305524,45
"146",0.3,0.1,2,63.3333333333333,20.0333333333333,10,2,9,100,8e+05,NA,78.9558386552658,NA,250
"147",0.2,0.1,2,74.1,14.4,10,2,9,100,8e+05,NA,84.9462120126176,NA,211
"148",0.3,0.1,1,145.133333333333,0,10,2,9,100,8e+05,29.6855409084112,82.9296492901398,2.23731228055791,27
"149",0.2,0.1,2,109.333333333333,11.8,10,2,9,100,8e+05,NA,78.8520438958916,NA,180
"150",0.3,0.1,2,59.2,18.0666666666667,10,2,9,100,8e+05,NA,78.9563525973109,NA,249
