,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
183,Rhabdoviridae,Lyssavirus,Rabies virus,Leptonycteris,curasoae,Leptonycteris curasoae,TRUE,1,,Leptonycteris curasoae
184,Rhabdoviridae,Lyssavirus,Rabies virus,Leptonycteris,nivalis,Leptonycteris nivalis,TRUE,1,,Leptonycteris nivalis
185,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Lonchophylla,robusta,Lonchophylla robusta,TRUE,1,,Lonchophylla robusta
186,Herpesviridae,unassigned,Parixa virus,Lonchophylla,thomasi,Lonchophylla thomasi,FALSE,1,,Lonchophylla thomasi
187,Rhabdoviridae,Lyssavirus,Rabies virus,Lonchorhina,aurita,Lonchorhina aurita,TRUE,1,,Lonchorhina aurita
188,Rhabdoviridae,Lyssavirus,Rabies virus,Lophostoma,brasiliense,Lophostoma brasiliense,TRUE,1,,Lophostoma brasiliense
189,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis Indiana virus,Lophostoma,silvicolum,Lophostoma silvicolum,TRUE,,,Lophostoma silvicolum
190,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Lophostoma,silvicolum,Lophostoma silvicolum,TRUE,2,,Lophostoma silvicolum
191,Flaviviridae,Flavivirus,Carey Island virus,Macroglossus,minimus,Macroglossus minimus,TRUE,1,,Macroglossus minimus
192,Rhabdoviridae,Lyssavirus,Rabies virus,Macrotus,californicus,Macrotus californicus,TRUE,1,,Macrotus californicus
193,Astroviridae,unassigned,bat astroviruses,Megaderma,lyra,Megaderma lyra,FALSE,,,Megaderma lyra
194,Orthomyxiviridae,Influenzavirus A,Influenzavirus A virus,Megaderma,lyra,Megaderma lyra,FALSE,2,,Megaderma lyra
195,Rhabdoviridae,Lyssavirus,Rabies virus,Micronycteris,megalotis,Micronycteris megalotis,TRUE,1,,Micronycteris megalotis
196,Filoviridae,Ebolavirus,Ebola-Zaire virus,Micropteropus,pusillus,Micropteropus pusillus,FALSE,,,Micropteropus pusillus
197,Rhabdoviridae,Lyssavirus,Lagos bat virus,Micropteropus,pusillus,Micropteropus pusillus,TRUE,,,Micropteropus pusillus
198,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Micropteropus,pusillus,Micropteropus pusillus,TRUE,3,,Micropteropus pusillus
199,Flaviviridae,Flavivirus,Tamana bat virus,Mimon,crenulatum,Mimon crenulatum,FALSE,1,,Mimon crenulatum
200,Filoviridae,Marburgvirus,Lake Victoria marburg virus,Miniopterus,inflatus,Miniopterus inflatus,FALSE,1,,Miniopterus inflatus
201,Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,magnater,Miniopterus magnater,FALSE,,,Miniopterus magnater
202,Coronaviridae,Coronavirus,Miniopterus bat coronavirus 1,Miniopterus,magnater,Miniopterus magnater,TRUE,2,,Miniopterus magnater
203,Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,pusillus,Miniopterus pusillus,FALSE,,,Miniopterus pusillus
204,Coronaviridae,Coronavirus,Miniopterus bat coronavirus 1,Miniopterus,pusillus,Miniopterus pusillus,TRUE,,,Miniopterus pusillus
205,Coronaviridae,Coronavirus,Miniopterus bat coronavirus HKU8,Miniopterus,pusillus,Miniopterus pusillus,TRUE,3,,Miniopterus pusillus
206,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
207,Astroviridae,unassigned,bat astroviruses,Miniopterus,schreibersii,Miniopterus schreibersii,FALSE,,,Miniopterus schreibersii
208,Coronaviridae,Coronavirus,BatCoV HKU7,Miniopterus,schreibersii,Miniopterus schreibersii,FALSE,,,Miniopterus schreibersii
209,Rhabdoviridae,Lyssavirus,Duvenhage virus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
210,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
211,Flaviviridae,Flavivirus,Japanese encephalitis virus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
212,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
213,Coronaviridae,Coronavirus,Miniopterus bat coronavirus 1,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
214,Coronaviridae,Coronavirus,Miniopterus bat coronavirus HKU8,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
215,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
216,Rhabdoviridae,Lyssavirus,West Caucasian bat virus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,,,Miniopterus schreibersii
217,Flaviviridae,Flavivirus,Yokose virus,Miniopterus,schreibersii,Miniopterus schreibersii,TRUE,12,,Miniopterus schreibersii
218,Coronaviridae,Coronavirus,BatCoV HKU7,Miniopterus,tristis,Miniopterus tristis,FALSE,1,,Miniopterus tristis
219,Rhabdoviridae,Lyssavirus,Rabies virus,Molossops,neglectus,Molossops neglectus,TRUE,1,,Molossops neglectus
220,Bunyaviridae,Orthobunyavirus,Catu virus,Molossus,molossus,Molossus molossus,TRUE,,,Molossus molossus
221,Flaviviridae,Flavivirus,Dengue virus,Molossus,molossus,Molossus molossus,TRUE,,,Molossus molossus
222,Flaviviridae,Flavivirus,Ilheus virus,Molossus,molossus,Molossus molossus,TRUE,,,Molossus molossus
223,Rhabdoviridae,Lyssavirus,Rabies virus,Molossus,molossus,Molossus molossus,TRUE,,,Molossus molossus
224,Flaviviridae,Flavivirus,Rio Bravo virus,Molossus,molossus,Molossus molossus,TRUE,,,Molossus molossus
225,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Molossus,molossus,Molossus molossus,TRUE,,,Molossus molossus
226,Flaviviridae,Flavivirus,Yellow Fever virus,Molossus,molossus,Molossus molossus,FALSE,7,,Molossus molossus
227,Flaviviridae,Flavivirus,Dengue virus,Molossus,rufus,Molossus rufus,TRUE,,,Molossus rufus
228,Flaviviridae,Flavivirus,Ilheus virus,Molossus,rufus,Molossus rufus,TRUE,,,Molossus rufus
229,Bunyaviridae,Orthobunyavirus,Manzanilla,Molossus,rufus,Molossus rufus,FALSE,,,Molossus rufus
230,Togaviridae,Alphavirus,Mucambo virus,Molossus,rufus,Molossus rufus,TRUE,,,Molossus rufus
231,Rhabdoviridae,Lyssavirus,Rabies virus,Molossus,rufus,Molossus rufus,TRUE,,,Molossus rufus
232,Flaviviridae,Flavivirus,Rio Bravo virus,Molossus,rufus,Molossus rufus,TRUE,,,Molossus rufus
233,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Molossus,rufus,Molossus rufus,TRUE,,,Molossus rufus
234,Flaviviridae,Flavivirus,Tamana bat virus,Molossus,rufus,Molossus rufus,FALSE,,,Molossus rufus
235,Flaviviridae,Flavivirus,Yellow Fever virus,Molossus,rufus,Molossus rufus,FALSE,9,,Molossus rufus
236,Flaviviridae,Flavivirus,Dakar bat virus,Tadarida,condylura,Mops condylurus,TRUE,,,Mops condylurus
237,Filoviridae,Ebolavirus,Ebola-Zaire virus,Tadarida,condylura,Mops condylurus,FALSE,,,Mops condylurus
238,Flaviviridae,Flavivirus,Entebbe bat virus,Tadarida,condylura,Mops condylurus,TRUE,3,,Mops condylurus
239,Rhabdoviridae,Lyssavirus,Rabies virus,Mormoops,megalophylla,Mormoops megalophylla,TRUE,,,Mormoops megalophylla
240,Flaviviridae,Flavivirus,Rio Bravo virus,Mormoops,megalophylla,Mormoops megalophylla,TRUE,,,Mormoops megalophylla
241,Flaviviridae,Flavivirus,Tamana bat virus,Mormoops,megalophylla,Mormoops megalophylla,FALSE,3,,Mormoops megalophylla
242,Rhabdoviridae,Lyssavirus,Irkut virus,Murina,leucogaster,Murina leucogaster,TRUE,,,Murina leucogaster
243,Flaviviridae,Flavivirus,Japanese encephalitis virus,Murina,leucogaster,Murina leucogaster,TRUE,2,,Murina leucogaster
244,Filoviridae,Ebolavirus,Ebola-Zaire virus,Myonycteris,torquata,Myonycteris torquata,FALSE,1,,Myonycteris torquata
245,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,albescens,Myotis albescens,TRUE,1,,Myotis albescens
246,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,austroriparius,Myotis austroriparius,TRUE,1,,Myotis austroriparius
247,Rhabdoviridae,Lyssavirus,Aravan,Myotis,blythii,Myotis blythii,FALSE,,,Myotis blythii
248,Bunyaviridae,unassigned,Issyk-kul,Myotis,blythii,Myotis blythii,FALSE,2,,Myotis blythii
249,Polyomaviridae,Polyomavirus,Myotis polyomavirus,Myotis,californicus,Myotis californicus,FALSE,,,Myotis californicus
250,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,californicus,Myotis californicus,TRUE,2,,Myotis californicus
251,Astroviridae,unassigned,bat astrovirus AFCD337,Myotis,chinensis,Myotis chinensis,FALSE,1,,Myotis chinensis
252,Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Myotis,dasycneme,Myotis dasycneme,TRUE,,,Myotis dasycneme
253,Coronaviridae,Coronavirus,Myotis dasycneme coronavirus,Myotis,dasycneme,Myotis dasycneme,FALSE,2,,Myotis dasycneme
254,Coronaviridae,Coronavirus,BatCoV HKU6,Myotis,daubentonii,Myotis daubentonii,FALSE,,,Myotis daubentonii
255,Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Myotis,daubentonii,Myotis daubentonii,TRUE,2,,Myotis daubentonii
256,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,evotis,Myotis evotis,TRUE,,,Myotis evotis
257,Coronaviridae,Coronavirus,Rocky Mountain bat coronavirus,Myotis,evotis,Myotis evotis,FALSE,2,,Myotis evotis
258,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,grisescens,Myotis grisescens,TRUE,1,,Myotis grisescens
259,Adenoviridae,Mastadenovirus,Myotis horsfieldii adenovirus,Myotis,horsfieldii,Myotis horsfieldii,FALSE,1,,Myotis horsfieldii
260,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,leibii,Myotis leibii,TRUE,1,,Myotis leibii
261,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,levis,Myotis levis,TRUE,1,,Myotis levis
262,Herpesviridae,unassigned,A cytomegalovirus,Myotis,lucifugus,Myotis lucifugus,FALSE,,,Myotis lucifugus
263,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Myotis,lucifugus,Myotis lucifugus,TRUE,,,Myotis lucifugus
264,Flaviviridae,Flavivirus,Montana myotis leucoencephalitis virus,Myotis,lucifugus,Myotis lucifugus,FALSE,,,Myotis lucifugus
265,Polyomaviridae,Polyomavirus,Myotis polyomavirus,Myotis,lucifugus,Myotis lucifugus,FALSE,,,Myotis lucifugus
266,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,lucifugus,Myotis lucifugus,TRUE,,,Myotis lucifugus
267,Coronaviridae,Coronavirus,Rocky Mountain bat coronavirus,Myotis,lucifugus,Myotis lucifugus,FALSE,,,Myotis lucifugus
268,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Myotis,lucifugus,Myotis lucifugus,TRUE,,,Myotis lucifugus
269,Flaviviridae,Flavivirus,West Nile virus,Myotis,lucifugus,Myotis lucifugus,TRUE,8,,Myotis lucifugus
270,Flaviviridae,Flavivirus,Japanese encephalitis virus,Myotis,macrodactylus,Myotis macrodactylus,TRUE,1,,Myotis macrodactylus
271,Astroviridae,Mamastrovirus,2 to 6? Astroviruses,Myotis,myotis,Myotis myotis,FALSE,,,Myotis myotis
272,Adenoviridae,Mastadenovirus,an adenovirus,Myotis,myotis,Myotis myotis,FALSE,,,Myotis myotis
273,Coronaviridae,Coronavirus,BatCoV HKU6,Myotis,myotis,Myotis myotis,FALSE,,,Myotis myotis
274,Herpesviridae,unassigned,BatGHV-2,Myotis,myotis,Myotis myotis,FALSE,,,Myotis myotis
275,Herpesviridae,unassigned,BatGHV-3,Myotis,myotis,Myotis myotis,FALSE,,FALSE,Myotis myotis
276,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Myotis,myotis,Myotis myotis,TRUE,,,Myotis myotis
277,Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Myotis,myotis,Myotis myotis,TRUE,8,,Myotis myotis
278,Flaviviridae,Flavivirus,Japanese encephalitis virus,Myotis,mystacinus,Myotis mystacinus,TRUE,,,Myotis mystacinus
279,Rhabdoviridae,Lyssavirus,Khujand virus,Myotis,mystacinus,Myotis mystacinus,TRUE,2,,Myotis mystacinus
280,Herpesviridae,unassigned,BatBHV-1,Myotis,nattereri,Myotis nattereri,FALSE,,,Myotis nattereri
281,Herpesviridae,unassigned,BatGHV-1,Myotis,nattereri,Myotis nattereri,FALSE,,FALSE,Myotis nattereri
282,Herpesviridae,unassigned,BatGHV-2,Myotis,nattereri,Myotis nattereri,FALSE,,FALSE,Myotis nattereri
283,Herpesviridae,unassigned,BatGHV-3,Myotis,nattereri,Myotis nattereri,FALSE,,FALSE,Myotis nattereri
284,Herpesviridae,unassigned,BatGHV-4,Myotis,nattereri,Myotis nattereri,FALSE,,FALSE,Myotis nattereri
285,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Myotis,nattereri,Myotis nattereri,TRUE,6,,Myotis nattereri
286,Flaviviridae,Flavivirus,Dengue virus,Myotis,nigricans,Myotis nigricans,TRUE,,,Myotis nigricans
287,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,nigricans,Myotis nigricans,TRUE,,,Myotis nigricans
288,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Myotis,nigricans,Myotis nigricans,TRUE,3,,Myotis nigricans
289,Coronaviridae,Coronavirus,Rocky Mountain bat coronavirus,Myotis,occultus,Myotis occultus,FALSE,1,,Myotis occultus
290,Adenoviridae,Mastadenovirus,bat adenovirus (BtAdV-TJM),Myotis,pilosus,Myotis ricketti,FALSE,,,Myotis ricketti
291,Astroviridae,unassigned,bat astrovirus AFCD337,Myotis,pilosus,Myotis ricketti,FALSE,,,Myotis ricketti
292,Astroviridae,unassigned,bat astroviruses,Myotis,pilosus,Myotis ricketti,FALSE,,FALSE,Myotis ricketti
293,Coronaviridae,Coronavirus,BatCoV HKU6,Myotis,pilosus,Myotis ricketti,FALSE,3,,Myotis ricketti
294,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,riparius,Myotis riparius,TRUE,1,,Myotis riparius
295,Bunyaviridae,Orthobunyavirus,California encephalitis virus,Myotis,septentrionalis,Myotis septentrionalis,TRUE,,,Myotis septentrionalis
296,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Myotis,septentrionalis,Myotis septentrionalis,TRUE,,,Myotis septentrionalis
297,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,septentrionalis,Myotis septentrionalis,TRUE,,,Myotis septentrionalis
298,Flaviviridae,Flavivirus,West Nile virus,Myotis,septentrionalis,Myotis septentrionalis,TRUE,4,,Myotis septentrionalis
299,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,thysanodes,Myotis thysanodes,TRUE,1,,Myotis thysanodes
300,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,velifer,Myotis velifer,TRUE,1,,Myotis velifer
301,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,volans,Myotis volans,TRUE,,,Myotis volans
302,Coronaviridae,Coronavirus,Rocky Mountain bat coronavirus,Myotis,volans,Myotis volans,FALSE,2,,Myotis volans
303,Rhabdoviridae,unassigned,Kern Canyon virus,Myotis,yumanensis,Myotis yumanensis,FALSE,,FALSE,Myotis yumanensis
304,Rhabdoviridae,Lyssavirus,Rabies virus,Myotis,yumanensis,Myotis yumanensis,TRUE,1,,Myotis yumanensis
305,Flaviviridae,Flavivirus,Dengue virus,Natalus,stramineus,Natalus stramineus,TRUE,1,,Natalus stramineus
306,Bunyaviridae,Orthobunyavirus,Bimiti,Natalus,tumidirostris,Natalus tumidirostris,FALSE,,,Natalus tumidirostris
307,Flaviviridae,Flavivirus,Ilheus virus,Natalus,tumidirostris,Natalus tumidirostris,TRUE,,,Natalus tumidirostris
308,Flaviviridae,Flavivirus,Rio Bravo virus,Natalus,tumidirostris,Natalus tumidirostris,TRUE,,,Natalus tumidirostris
309,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Natalus,tumidirostris,Natalus tumidirostris,TRUE,,,Natalus tumidirostris
310,Flaviviridae,Flavivirus,Tamana bat virus,Natalus,tumidirostris,Natalus tumidirostris,FALSE,4,FALSE,Natalus tumidirostris
311,Coronaviridae,Coronavirus,BatCoV BNM98-30,Nyctalus,leisleri,Nyctalus leisleri,FALSE,1,,Nyctalus leisleri
312,Adenoviridae,Mastadenovirus,bat adenovirus (BtAdV-TJM),Nyctalus,noctula,Nyctalus noctula,FALSE,,,Nyctalus noctula
313,Herpesviridae,unassigned,BatGHV-3,Nyctalus,noctula,Nyctalus noctula,FALSE,,,Nyctalus noctula
314,Herpesviridae,unassigned,BatGHV-4,Nyctalus,noctula,Nyctalus noctula,FALSE,,FALSE,Nyctalus noctula
315,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Nyctalus,noctula,Nyctalus noctula,TRUE,,,Nyctalus noctula
316,Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Nyctalus,noctula,Nyctalus noctula,TRUE,,,Nyctalus noctula
317,Orthomyxiviridae,Influenzavirus A,Influenzavirus A virus,Nyctalus,noctula,Nyctalus noctula,FALSE,,,Nyctalus noctula
318,Bunyaviridae,unassigned,Issyk-kul,Nyctalus,noctula,Nyctalus noctula,FALSE,,,Nyctalus noctula
319,Coronaviridae,Coronavirus,Nyctalus noctula coronavirus,Nyctalus,noctula,Nyctalus noctula,FALSE,,,Nyctalus noctula
320,Rhabdoviridae,Lyssavirus,Rabies virus,Nyctalus,noctula,Nyctalus noctula,TRUE,8,,Nyctalus noctula
321,Astroviridae,unassigned,bat astroviruses,Nyctalus,plancyi,Nyctalus plancyi,FALSE,1,,Nyctalus plancyi
322,Reoviridae,Orbivirus,Chobar Gorge virus,Nycteris,gambiensis,Nycteris gambiensis,TRUE,,,Nycteris gambiensis
323,Rhabdoviridae,Lyssavirus,Lagos bat virus,Nycteris,gambiensis,Nycteris gambiensis,TRUE,,,Nycteris gambiensis
324,Flaviviridae,Flavivirus,Saboya virus,Nycteris,gambiensis,Nycteris gambiensis,TRUE,3,,Nycteris gambiensis
325,Reoviridae,Orbivirus,Chobar Gorge virus,Nycteris,nana,Nycteris nana,TRUE,1,,Nycteris nana
326,Rhabdoviridae,Lyssavirus,Duvenhage virus,Nycteris,thebaica,Nycteris thebaica,TRUE,1,,Nycteris thebaica
327,Rhabdoviridae,Lyssavirus,Rabies virus,Nycticeius,humeralis,Nycticeius humeralis,TRUE,1,,Nycticeius humeralis
328,Rhabdoviridae,Lyssavirus,Rabies virus,Nyctinomops,laticaudatus,Nyctinomops laticaudatus,TRUE,1,,Nyctinomops laticaudatus
329,Rhabdoviridae,Lyssavirus,Rabies virus,Nyctinomops,macrotis,Nyctinomops macrotis,TRUE,1,,Nyctinomops macrotis
330,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Philetor,brachypterus,Philetor brachypterus,TRUE,1,,Philetor brachypterus
331,Flaviviridae,Flavivirus,Rio Bravo virus,Phyllostomus,discolor,Phyllostomus discolor,TRUE,,,Phyllostomus discolor
332,Flaviviridae,Flavivirus,Tamana bat virus,Phyllostomus,discolor,Phyllostomus discolor,FALSE,,FALSE,Phyllostomus discolor
333,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Phyllostomus,discolor,Phyllostomus discolor,TRUE,2,,Phyllostomus discolor
334,Bunyaviridae,Orthobunyavirus,Bimiti,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
335,Bunyaviridae,Orthobunyavirus,Catu virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
336,Rhabdoviridae,Vesiculovirus,Cocal,Phyllostomus,hastatus,Phyllostomus hastatus,FALSE,,,Phyllostomus hastatus
337,Flaviviridae,Flavivirus,Dengue virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
338,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
339,Bunyaviridae,Orthobunyavirus,Guama virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
340,Flaviviridae,Flavivirus,Ilheus virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
341,Bunyaviridae,Orthobunyavirus,Marituba virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
342,Togaviridae,Alphavirus,Mucambo virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
343,Rhabdoviridae,Lyssavirus,Rabies virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
344,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,,,Phyllostomus hastatus
345,Arenaviridae,Arenavirus,Tacaribe virus,Phyllostomus,hastatus,Phyllostomus hastatus,FALSE,,,Phyllostomus hastatus
346,Flaviviridae,Flavivirus,Yellow Fever virus,Phyllostomus,hastatus,Phyllostomus hastatus,TRUE,13,,Phyllostomus hastatus
347,Astroviridae,unassigned,bat astroviruses,Pipistrellus,abramus,Pipistrellus abramus,FALSE,,,Pipistrellus abramus
348,Flaviviridae,Flavivirus,Japanese encephalitis virus,Pipistrellus,abramus,Pipistrellus abramus,TRUE,2,,Pipistrellus abramus
349,Coronaviridae,Coronavirus,Pipistrellus bat coronavirus HKU5,Pipistrellus,abramus,Pipistrellus abramus,TRUE,1,,Pipistrellus abramus
350,Orthomyxiviridae,Influenzavirus A,Influenzavirus A virus,Pipistrellus,ceylonicus,Pipistrellus ceylonicus,FALSE,1,,Pipistrellus ceylonicus
351,Rhabdoviridae,Lyssavirus,Rabies virus,Pipistrellus,hesperus,Pipistrellus hesperus,TRUE,1,,Pipistrellus hesperus
352,Bunyaviridae,Phlebovirus,Toscana virus,Pipistrellus,kuhlii,Pipistrellus kuhlii,FALSE,1,,Pipistrellus kuhlii
353,Herpesviridae,unassigned,BatGHV-1,Pipistrellus,nathusii,Pipistrellus nathusii,FALSE,,,Pipistrellus nathusii
354,Herpesviridae,unassigned,BatGHV-5,Pipistrellus,nathusii,Pipistrellus nathusii,FALSE,,FALSE,Pipistrellus nathusii
355,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Pipistrellus,nathusii,Pipistrellus nathusii,TRUE,,,Pipistrellus nathusii
356,Coronaviridae,Coronavirus,Pipistrellus bat coronavirus HKU5,Pipistrellus,nathusii,Pipistrellus nathusii,TRUE,3,,Pipistrellus nathusii
357,Adenoviridae,unassigned,"bat PPV1, AdV",Pipistrellus,pipistrellus,Pipistrellus pipistrellus,FALSE,,,Pipistrellus pipistrellus
358,Herpesviridae,unassigned,BatBHV-1,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,FALSE,,,Pipistrellus pipistrellus
359,Herpesviridae,unassigned,BatGHV-1,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,FALSE,,FALSE,Pipistrellus pipistrellus
360,Herpesviridae,unassigned,BatGHV-6,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,FALSE,,FALSE,Pipistrellus pipistrellus
361,Flaviviridae,Flavivirus,Entebbe bat virus,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,TRUE,,,Pipistrellus pipistrellus
362,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,TRUE,,,Pipistrellus pipistrellus
363,Bunyaviridae,unassigned,Issyk-kul,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,FALSE,,,Pipistrellus pipistrellus
364,Coronaviridae,Coronavirus,Pipistrellus bat coronavirus HKU5,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,TRUE,6,,Pipistrellus pipistrellus
365,Coronaviridae,Coronavirus,Pipistrellus bat coronavirus HKU5,Pipistrellus,pygmaeus,Pipistrellus pygmaeus,TRUE,1,,Pipistrellus pygmaeus
