,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
366,Rhabdoviridae,Lyssavirus,Rabies virus,Pipistrellus,subflavus,Pipistrellus subflavus,TRUE,1,,Pipistrellus subflavus
367,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Platyrrhinus,helleri,Platyrrhinus helleri,TRUE,,,Platyrrhinus helleri
368,Flaviviridae,Flavivirus,Ilheus virus,Platyrrhinus,helleri,Platyrrhinus helleri,TRUE,,,Platyrrhinus helleri
369,Arenaviridae,Arenavirus,Tacaribe virus,Platyrrhinus,helleri,Platyrrhinus helleri,FALSE,,,Platyrrhinus helleri
370,Flaviviridae,Flavivirus,Yellow Fever virus,Platyrrhinus,helleri,Platyrrhinus helleri,TRUE,4,,Platyrrhinus helleri
371,Rhabdoviridae,Lyssavirus,Rabies virus,Platyrrhinus,lineatus,Platyrrhinus lineatus,TRUE,1,,Platyrrhinus lineatus
372,Herpesviridae,unassigned,BatGHV-7,Plecotus,auritus,Plecotus auritus,FALSE,,,Plecotus auritus
373,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Plecotus,auritus,Plecotus auritus,TRUE,,,Plecotus auritus
374,Flaviviridae,Flavivirus,Japanese encephalitis virus,Plecotus,auritus,Plecotus auritus,TRUE,3,,Plecotus auritus
375,Flaviviridae,Flavivirus,Dengue virus,Pteronotus,davyi,Pteronotus davyi,TRUE,,,Pteronotus davyi
376,Flaviviridae,Flavivirus,Ilheus virus,Pteronotus,davyi,Pteronotus davyi,TRUE,,,Pteronotus davyi
377,Flaviviridae,Flavivirus,Rio Bravo virus,Pteronotus,davyi,Pteronotus davyi,TRUE,,,Pteronotus davyi
378,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Pteronotus,davyi,Pteronotus davyi,TRUE,,,Pteronotus davyi
379,Flaviviridae,Flavivirus,Tamana bat virus,Pteronotus,davyi,Pteronotus davyi,FALSE,,FALSE,Pteronotus davyi
380,Flaviviridae,Flavivirus,Yellow Fever virus,Pteronotus,davyi,Pteronotus davyi,TRUE,5,,Pteronotus davyi
381,Bunyaviridae,Orthobunyavirus,Bimiti,Pteronotus,parnellii,Pteronotus parnellii,FALSE,,,Pteronotus parnellii
382,Flaviviridae,Flavivirus,Dengue virus,Pteronotus,parnellii,Pteronotus parnellii,TRUE,,,Pteronotus parnellii
383,Flaviviridae,Flavivirus,Ilheus virus,Pteronotus,parnellii,Pteronotus parnellii,TRUE,,,Pteronotus parnellii
384,Rhabdoviridae,Lyssavirus,Rabies virus,Pteronotus,parnellii,Pteronotus parnellii,TRUE,,,Pteronotus parnellii
385,Flaviviridae,Flavivirus,Rio Bravo virus,Pteronotus,parnellii,Pteronotus parnellii,TRUE,,,Pteronotus parnellii
386,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Pteronotus,parnellii,Pteronotus parnellii,TRUE,,,Pteronotus parnellii
387,Flaviviridae,Flavivirus,Tamana bat virus,Pteronotus,parnellii,Pteronotus parnellii,FALSE,,FALSE,Pteronotus parnellii
388,Flaviviridae,Flavivirus,Yellow Fever virus,Pteronotus,parnellii,Pteronotus parnellii,TRUE,7,,Pteronotus parnellii
389,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,admiralitatum,Pteropus admiralitatum,TRUE,1,,Pteropus admiralitatum
390,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,alecto,Pteropus alecto,TRUE,,,Pteropus alecto
391,Reoviridae,Orthoreovirus,Broome virus,Pteropus,alecto,Pteropus alecto,FALSE,,,Pteropus alecto
392,Flaviviridae,Flavivirus,Dengue virus,Pteropus,alecto,Pteropus alecto,TRUE,,,Pteropus alecto
393,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,alecto,Pteropus alecto,TRUE,,,Pteropus alecto
394,Flaviviridae,Flavivirus,Japanese encephalitis virus,Pteropus,alecto,Pteropus alecto,TRUE,,,Pteropus alecto
395,Paramyxoviridae,unassigned,Menangle virus,Pteropus,alecto,Pteropus alecto,FALSE,,FALSE,Pteropus alecto
396,Flaviviridae,Flavivirus,West Nile virus,Pteropus,alecto,Pteropus alecto,TRUE,6,,Pteropus alecto
397,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,capistratus,Pteropus capistratus,TRUE,1,,Pteropus capistratus
398,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,conspicillatus,Pteropus conspicillatus,TRUE,,,Pteropus conspicillatus
399,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,conspicillatus,Pteropus conspicillatus,TRUE,,,Pteropus conspicillatus
400,Paramyxoviridae,unassigned,Menangle virus,Pteropus,conspicillatus,Pteropus conspicillatus,FALSE,2,FALSE,Pteropus conspicillatus
401,Adenoviridae,Mastadenovirus,bat FBV1,Pteropus,dasymallus,Pteropus dasymallus,FALSE,,,Pteropus dasymallus
402,Adenoviridae,unassigned,Ryukyu virus,Pteropus,dasymallus,Pteropus dasymallus,FALSE,1,FALSE,Pteropus dasymallus
403,Flaviviridae,unassigned,GB virus D,Pteropus,giganteus,Pteropus giganteus,FALSE,,,Pteropus giganteus
404,Paramyxoviridae,Henipavirus,Nipah virus,Pteropus,giganteus,Pteropus giganteus,TRUE,2,,Pteropus giganteus
405,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,hypomelanus,Pteropus hypomelanus,TRUE,,,Pteropus hypomelanus
406,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,hypomelanus,Pteropus hypomelanus,TRUE,,,Pteropus hypomelanus
407,Paramyxoviridae,Henipavirus,Nipah virus,Pteropus,hypomelanus,Pteropus hypomelanus,TRUE,,,Pteropus hypomelanus
408,Reoviridae,Orthoreovirus,Pulau virus,Pteropus,hypomelanus,Pteropus hypomelanus,FALSE,,,Pteropus hypomelanus
409,Paramyxoviridae,unassigned,Tioman virus,Pteropus,hypomelanus,Pteropus hypomelanus,FALSE,4,FALSE,Pteropus hypomelanus
410,Rhabdoviridae,Lyssavirus,Aravan,Pteropus,lylei,Pteropus lylei,TRUE,,,Pteropus lylei
411,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,lylei,Pteropus lylei,TRUE,,,Pteropus lylei
412,Rhabdoviridae,Lyssavirus,Irkut virus,Pteropus,lylei,Pteropus lylei,TRUE,,,Pteropus lylei
413,Rhabdoviridae,Lyssavirus,Khujand virus,Pteropus,lylei,Pteropus lylei,TRUE,,,Pteropus lylei
414,Paramyxoviridae,Henipavirus,Nipah virus,Pteropus,lylei,Pteropus lylei,TRUE,5,,Pteropus lylei
415,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,neohibernicus,Pteropus neohibernicus,TRUE,,,Pteropus neohibernicus
416,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,poliocephalus,Pteropus poliocephalus,TRUE,,,Pteropus poliocephalus
417,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,poliocephalus,Pteropus poliocephalus,TRUE,,,Pteropus poliocephalus
418,Paramyxoviridae,unassigned,Menangle virus,Pteropus,poliocephalus,Pteropus poliocephalus,FALSE,,FALSE,Pteropus poliocephalus
419,Reoviridae,Orthoreovirus,Nelson Bay virus,Pteropus,poliocephalus,Pteropus poliocephalus,FALSE,4,,Pteropus poliocephalus
420,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,rufus,Pteropus rufus,TRUE,,,Pteropus rufus
421,Paramyxoviridae,Henipavirus,Nipah virus,Pteropus,rufus,Pteropus rufus,TRUE,2,,Pteropus rufus
422,Paramyxoviridae,unassigned,Tioman virus,Pteropus,rufus,Pteropus rufus,FALSE,,FALSE,Pteropus rufus
423,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,scapulatus,Pteropus scapulatus,TRUE,,,Pteropus scapulatus
424,Reoviridae,Orthoreovirus,Broome virus,Pteropus,scapulatus,Pteropus scapulatus,FALSE,,,Pteropus scapulatus
425,Flaviviridae,Flavivirus,Dengue virus,Pteropus,scapulatus,Pteropus scapulatus,TRUE,,,Pteropus scapulatus
426,Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,scapulatus,Pteropus scapulatus,TRUE,,,Pteropus scapulatus
427,Flaviviridae,Flavivirus,Japanese encephalitis virus,Pteropus,scapulatus,Pteropus scapulatus,TRUE,,,Pteropus scapulatus
428,Paramyxoviridae,unassigned,Menangle virus,Pteropus,scapulatus,Pteropus scapulatus,FALSE,,FALSE,Pteropus scapulatus
429,Flaviviridae,Flavivirus,Murray Valley encephalitis virus,Pteropus,scapulatus,Pteropus scapulatus,TRUE,,,Pteropus scapulatus
430,Flaviviridae,Flavivirus,West Nile virus,Pteropus,scapulatus,Pteropus scapulatus,TRUE,7,,Pteropus scapulatus
431,Paramyxoviridae,Henipavirus,Nipah virus,Pteropus,vampyrus,Pteropus vampyrus,TRUE,1,,Pteropus vampyrus
432,Astroviridae,unassigned,bat astroviruses,Rhinolophus,affinis,Rhinolophus affinis,FALSE,1,,Rhinolophus affinis
433,Coronaviridae,Coronavirus,BatCoV BB98-15,Rhinolophus,blasii,Rhinolophus blasii,FALSE,,FALSE,Rhinolophus blasii
434,Coronaviridae,Coronavirus,Rhinolophus bat coronavirus HKU2,Rhinolophus,blasii,Rhinolophus blasii,TRUE,,,Rhinolophus blasii
435,Coronaviridae,Coronavirus,SARS coronavirus-related,Rhinolophus,blasii,Rhinolophus blasii,TRUE,2,,Rhinolophus blasii
436,Filoviridae,Marburgvirus,Lake Victoria marburg virus,Rhinolophus,eloquens,Rhinolophus eloquens,FALSE,,,Rhinolophus eloquens
437,Rhabdoviridae,Vesiculovirus,Mount Elgon bat virus,Rhinolophus,eloquens,Rhinolophus eloquens,FALSE,2,,Rhinolophus eloquens
438,Coronaviridae,Coronavirus,Rhinolophus bat coronavirus HKU2,Rhinolophus,euryale,Rhinolophus euryale,TRUE,,,Rhinolophus euryale
439,Coronaviridae,Coronavirus,SARS coronavirus-related,Rhinolophus,euryale,Rhinolophus euryale,TRUE,2,,Rhinolophus euryale
440,Astroviridae,unassigned,bat astroviruses,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,FALSE,,,Rhinolophus ferrumequinum
441,Coronaviridae,Coronavirus,BatCoV BB98-15,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,FALSE,,FALSE,Rhinolophus ferrumequinum
442,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,,,Rhinolophus ferrumequinum
443,Bunyaviridae,Hantavirus,Hantaan virus,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,,,Rhinolophus ferrumequinum
444,Bunyaviridae,unassigned,Issyk-kul,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,FALSE,,FALSE,Rhinolophus ferrumequinum
445,Flaviviridae,Flavivirus,Japanese encephalitis virus,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,,,Rhinolophus ferrumequinum
446,Bunyaviridae,Hantavirus,Puumala,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,,,Rhinolophus ferrumequinum
447,Rhabdoviridae,Lyssavirus,Rabies virus,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,,,Rhinolophus ferrumequinum
448,Adenoviridae,Mastadenovirus,Rhinolophus adenovirus,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,FALSE,,,Rhinolophus ferrumequinum
449,Coronaviridae,Coronavirus,Rhinolophus bat coronavirus HKU2,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,,,Rhinolophus ferrumequinum
450,Coronaviridae,Coronavirus,SARS coronavirus,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,TRUE,9,,Rhinolophus ferrumequinum
451,Rhabdoviridae,Vesiculovirus,Mount Elgon bat virus,Rhinolophus,hildebrandti,Rhinolophus hildebrandtii,FALSE,1,,Rhinolophus hildebrandtii
452,Coronaviridae,Coronavirus,new bat coronavirus,Rhinolophus,hipposideros,Rhinolophus hipposideros,FALSE,1,,Rhinolophus hipposideros
453,Bunyaviridae,unassigned,Issyk-kul,Rhinolophus,horsfeldi,Rhinolophus horsfeldi,FALSE,1,,Rhinolophus horsfeldi
454,Bunyaviridae,unassigned,Issyk-kul,Rhinolophus,lepidus,Rhinolophus lepidus,FALSE,1,,Rhinolophus lepidus
455,Astroviridae,unassigned,bat astroviruses,Rhinolophus,macrotis,Rhinolophus macrotis,FALSE,,,Rhinolophus macrotis
456,Coronaviridae,Coronavirus,Rhinolophus bat coronavirus HKU2,Rhinolophus,macrotis,Rhinolophus macrotis,TRUE,,,Rhinolophus macrotis
457,Coronaviridae,Coronavirus,SARS coronavirus,Rhinolophus,macrotis,Rhinolophus macrotis,TRUE,3,,Rhinolophus macrotis
458,Coronaviridae,Coronavirus,SARS coronavirus-related,Rhinolophus,mehelyi,Rhinolophus mehelyi,FALSE,1,,Rhinolophus mehelyi
459,Astroviridae,unassigned,bat astroviruses,Rhinolophus,pearsonii,Rhinolophus pearsonii,FALSE,,,Rhinolophus pearsonii
460,Coronaviridae,Coronavirus,Rhinolophus bat coronavirus HKU2,Rhinolophus,pearsonii,Rhinolophus pearsonii,TRUE,,,Rhinolophus pearsonii
461,Coronaviridae,Coronavirus,SARS coronavirus,Rhinolophus,pearsonii,Rhinolophus pearsonii,TRUE,3,,Rhinolophus pearsonii
462,Flaviviridae,Flavivirus,Japanese encephalitis virus,Rhinolophus,pusillus,Rhinolophus pusillus,TRUE,,,Rhinolophus pusillus
463,Rhabdoviridae,unassigned,Oita 296 virus,Rhinolophus,pusillus,Rhinolophus pusillus,FALSE,,FALSE,Rhinolophus pusillus
464,Rhabdoviridae,Lyssavirus,Rabies virus,Rhinolophus,pusillus,Rhinolophus pusillus,TRUE,,,Rhinolophus pusillus
465,Coronaviridae,Coronavirus,SARS coronavirus,Rhinolophus,pusillus,Rhinolophus pusillus,TRUE,3,,Rhinolophus pusillus
466,Astroviridae,unassigned,bat astrovirus AFCD337,Rhinolophus,rouxii,Rhinolophus rouxii,FALSE,,,Rhinolophus rouxii
467,Flaviviridae,Flavivirus,Japanese encephalitis virus,Rhinolophus,rouxii,Rhinolophus rouxii,TRUE,,,Rhinolophus rouxii
468,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Rhinolophus,rouxii,Rhinolophus rouxii,TRUE,3,,Rhinolophus rouxii
469,Astroviridae,unassigned,bat astroviruses,Rhinolophus,sinicus,Rhinolophus sinicus,FALSE,,,Rhinolophus sinicus
470,Coronaviridae,Coronavirus,Rhinolophus bat coronavirus HKU2,Rhinolophus,sinicus,Rhinolophus sinicus,TRUE,,,Rhinolophus sinicus
471,Coronaviridae,Coronavirus,SARS coronavirus,Rhinolophus,sinicus,Rhinolophus sinicus,TRUE,3,,Rhinolophus sinicus
472,Paramyxoviridae,Rubulavirus,Porcine rubulavirus,Rhogeessa,parvula,Rhogeessa parvula,TRUE,1,,Rhogeessa parvula
473,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Rhynchonycteris,naso,Rhynchonycteris naso,TRUE,1,,Rhynchonycteris naso
474,Togaviridae,Alphavirus,Chikungunya virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,TRUE,,,Rousettus aegyptiacus
475,Filoviridae,Ebolavirus,Ebola-Zaire virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,TRUE,,,Rousettus aegyptiacus
476,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Rousettus,aegyptiacus,Rousettus aegyptiacus,TRUE,,,Rousettus aegyptiacus
477,Bunyaviridae,unassigned,Kasokero virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,FALSE,,,Rousettus aegyptiacus
478,Rhabdoviridae,Lyssavirus,Lagos bat virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,TRUE,,,Rousettus aegyptiacus
479,Filoviridae,Marburgvirus,Lake Victoria marburg virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,FALSE,,,Rousettus aegyptiacus
480,Papillomaviridae,unassigned,Rousettus aegyptiacus papillomavirus type 1,Rousettus,aegyptiacus,Rousettus aegyptiacus,FALSE,,,Rousettus aegyptiacus
481,Flaviviridae,Flavivirus,West Nile virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,TRUE,,,Rousettus aegyptiacus
482,Bunyaviridae,unassigned,Yogue virus,Rousettus,aegyptiacus,Rousettus aegyptiacus,FALSE,8,FALSE,Rousettus aegyptiacus
483,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,TRUE,1,,Rousettus amplexicaudatus
484,Paramyxoviridae,undetermined, a parainfluenzavirus,Rousettus,leschenaultii,Rousettus leschenaultii,FALSE,,FALSE,Rousettus leschenaultii
485,Togaviridae,Alphavirus,Chikungunya virus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
486,Flaviviridae,Flavivirus,Dengue virus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
487,Orthomyxiviridae,Influenzavirus A,Influenzavirus A virus,Rousettus,leschenaultii,Rousettus leschenaultii,FALSE,,,Rousettus leschenaultii
488,Flaviviridae,Flavivirus,Japanese encephalitis virus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
489,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
490,Reoviridae,Orthoreovirus,Nelson Bay virus,Rousettus,leschenaultii,Rousettus leschenaultii,FALSE,,,Rousettus leschenaultii
491,Rhabdoviridae,Lyssavirus,Rabies virus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
492,Coronaviridae,Coronavirus,Rousettus bat coronavirus HKU9,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
493,Coronaviridae,Coronavirus,SARS coronavirus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,,,Rousettus leschenaultii
494,Paramyxoviridae,Rubulavirus,Tuhokovirus 1,Rousettus,leschenaultii,Rousettus leschenaultii,FALSE,,FALSE,Rousettus leschenaultii
495,Paramyxoviridae,Rubulavirus,Tuhokovirus 2,Rousettus,leschenaultii,Rousettus leschenaultii,FALSE,,FALSE,Rousettus leschenaultii
496,Paramyxoviridae,Rubulavirus,Tuhokovirus 3,Rousettus,leschenaultii,Rousettus leschenaultii,FALSE,,FALSE,Rousettus leschenaultii
497,Flaviviridae,Flavivirus,West Nile virus,Rousettus,leschenaultii,Rousettus leschenaultii,TRUE,10,,Rousettus leschenaultii
498,Paramyxoviridae,unassigned,Tioman virus,Rousettus,madagascariensis,Rousettus madagascariensis,FALSE,1,,Rousettus madagascariensis
499,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Saccolaimus,flaviventris,Saccolaimus flaviventris,TRUE,1,,Saccolaimus flaviventris
500,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Scotophilus,kuhlii,Scotophilus kuhlii,TRUE,,,Scotophilus kuhlii
501,Astroviridae,unassigned,bat astroviruses,Scotophilus,kuhlii,Scotophilus kuhlii,FALSE,,,Scotophilus kuhlii
502,Flaviviridae,Flavivirus,Dengue virus,Scotophilus,kuhlii,Scotophilus kuhlii,TRUE,,,Scotophilus kuhlii
503,Bunyaviridae,unassigned,Issyk-kul,Scotophilus,kuhlii,Scotophilus kuhlii,FALSE,,,Scotophilus kuhlii
504,Paramyxoviridae,Henipavirus,Nipah virus,Scotophilus,kuhlii,Scotophilus kuhlii,TRUE,,,Scotophilus kuhlii
505,Adenoviridae,Mastadenovirus,Scotophilus adenovirus,Scotophilus,kuhlii,Scotophilus kuhlii,FALSE,,,Scotophilus kuhlii
506,Coronaviridae,Coronavirus,Scotophilus bat coronavirus 512,Scotophilus,kuhlii,Scotophilus kuhlii,TRUE,7,,Scotophilus kuhlii
507,Flaviviridae,Flavivirus,Dakar bat virus,Scotophilus,nigrita,Scotophilus nigrita,TRUE,,,Scotophilus nigrita
508,Bunyaviridae,Nairovirus,Qalyub,Scotophilus,nigrita,Scotophilus nigrita,FALSE,2,,Scotophilus nigrita
509,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Sturnira,lilium,Sturnira lilium,TRUE,,,Sturnira lilium
510,Paramyxoviridae,Rubulavirus,Mapuera virus,Sturnira,lilium,Sturnira lilium,TRUE,,,Sturnira lilium
511,Rhabdoviridae,Lyssavirus,Rabies virus,Sturnira,lilium,Sturnira lilium,TRUE,,,Sturnira lilium
512,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Sturnira,lilium,Sturnira lilium,TRUE,,,Sturnira lilium
513,Arenaviridae,Arenavirus,Tacaribe virus,Sturnira,lilium,Sturnira lilium,FALSE,,,Sturnira lilium
514,Flaviviridae,Flavivirus,Tamana bat virus,Sturnira,lilium,Sturnira lilium,FALSE,,FALSE,Sturnira lilium
515,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Sturnira,lilium,Sturnira lilium,TRUE,,,Sturnira lilium
516,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Sturnira,lilium,Sturnira lilium,TRUE,7,,Sturnira lilium
517,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Sturnira,ludovici,Sturnira ludovici,TRUE,1,,Sturnira ludovici
518,Reoviridae,Orbivirus,Japanaut virus,Syconycteris,australis,Syconycteris australis,FALSE,1,,Syconycteris australis
519,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Tadarida,brasiliensis,Tadarida brasiliensis,TRUE,,,Tadarida brasiliensis
520,Rhabdoviridae,Lyssavirus,Rabies virus,Tadarida,brasiliensis,Tadarida brasiliensis,TRUE,,,Tadarida brasiliensis
521,Flaviviridae,Flavivirus,Rio Bravo virus,Tadarida,brasiliensis,Tadarida brasiliensis,TRUE,,,Tadarida brasiliensis
522,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Tadarida,brasiliensis,Tadarida brasiliensis,TRUE,,,Tadarida brasiliensis
523,Togaviridae,Alphavirus,Western equine encephalitis virus,Tadarida,brasiliensis,Tadarida brasiliensis,TRUE,5,,Tadarida brasiliensis
524,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Tadarida,teniotis,Tadarida teniotis,TRUE,1,,Tadarida teniotis
525,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Taphozous,melanopogon,Taphozous melanopogon,TRUE,,,Taphozous melanopogon
526,Astroviridae,unassigned,bat astroviruses,Taphozous,melanopogon,Taphozous melanopogon,FALSE,,,Taphozous melanopogon
527,Bunyaviridae,unassigned,Issyk-kul,Taphozous,melanopogon,Taphozous melanopogon,FALSE,,,Taphozous melanopogon
528,Flaviviridae,Flavivirus,Japanese encephalitis virus,Taphozous,melanopogon,Taphozous melanopogon,TRUE,3,,Taphozous melanopogon
529,Flaviviridae,Flavivirus,Dakar bat virus,Taphozous,perforatus,Taphozous perforatus,TRUE,,,Taphozous perforatus
530,Bunyaviridae,Orthobunyavirus,Kaeng Khoi virus,Taphozous,perforatus,Taphozous perforatus,TRUE,2,,Taphozous perforatus
531,Arenaviridae,Arenavirus,Tacaribe virus,Tonatia,bidens,Tonatia bidens,FALSE,1,,Tonatia bidens
532,Rhabdoviridae,Lyssavirus,Rabies virus,Trachops,cirrhosus,Trachops cirrhosus,TRUE,1,,Trachops cirrhosus
533,Astroviridae,unassigned,bat astroviruses,Tylonycteris,pachypus,Tylonycteris pachypus,FALSE,,,Tylonycteris pachypus
534,Coronaviridae,Coronavirus,Tylonycteris bat coronavirus HKU4,Tylonycteris,pachypus,Tylonycteris pachypus,TRUE,2,,Tylonycteris pachypus
535,Rhabdoviridae,Lyssavirus,Rabies virus,Uroderma,bilobatum,Uroderma bilobatum,TRUE,,,Uroderma bilobatum
536,Arenaviridae,Arenavirus,Tacaribe virus,Uroderma,bilobatum,Uroderma bilobatum,FALSE,,,Uroderma bilobatum
537,Flaviviridae,Flavivirus,Tamana bat virus,Uroderma,bilobatum,Uroderma bilobatum,FALSE,,,Uroderma bilobatum
538,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Uroderma,bilobatum,Uroderma bilobatum,TRUE,3,,Uroderma bilobatum
539,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Vampyrodes,caraccioli,Vampyrodes caraccioli,TRUE,1,,Vampyrodes caraccioli
540,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Vespertilio,murinus,Vespertilio murinus,TRUE,,,Vespertilio murinus
541,Rhabdoviridae,Lyssavirus,Rabies virus,Vespertilio,murinus,Vespertilio murinus,TRUE,,,Vespertilio murinus
542,Flaviviridae,Flavivirus,Japanese encephalitis virus,Vespertilio,sinensis,Vespertilio sinensis,TRUE,3,,Vespertilio sinensis
