virus.family,virus.genus,virus.species,host.genus,host.species,zoonotic,detection.method,reference,notes
Paramyxoviridae,undetermined, a parainfluenzavirus,Rousettus,leschenaultii,N,isolation,[388],
Astroviridae,Mamastrovirus,2 to 6? Astroviruses,Myotis,myotis,N,PCR,[314],
Coronaviridae,Coronavirus,a betacoronavirus,Hipposideros,larvatus,N,PCR,[336],
Herpesviridae,unassigned,A cytomegalovirus,Myotis,lucifugus,N,isolation,[320],1996
Herpesviridae,unassigned,a gammaherpesvirus,Eptesicus,serotinus,N,PCR,[372],
Herpesviridae,unassigned,a herpesvirus,Eidolon,dupreanum,N,isolation,[328],
Herpesviridae,unassigned,a herpesvirus,Eidolon,helvum,N,isolation,[328],
Retroviridae,unassigned,a retrovirus,Carollia,perspicillata,N,PCR,[393],
Herpesviridae,unassigned,Agua Preta virus,Carollia,subrufa,N,isolation,[320],
Adenoviridae,Mastadenovirus,an adenovirus,Myotis,myotis,N,PCR,[314],
Coronaviridae,Coronavirus,an alphacoronavirus,Hipposideros,armiger,N,PCR,[336],
Herpesviridae,unassigned,another bat gammaherpesvirus,Hipposideros,diadema,N,PCR,[373],
Rhabdoviridae,Lyssavirus,Aravan,Myotis,blythii,N,isolation,[394],
Rhabdoviridae,Lyssavirus,Aravan,Pteropus,lylei,N,antibodies,[395],may cross-react with 4 diff viruses
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Miniopterus,schreibersii,Y,neautralizing antibodies,[396],
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Philetor,brachypterus,Y,neautralizing antibodies,[396],
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,alecto,Y,isolation,"[322, 397, 398]",
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,conspicillatus,Y,isolation,"[322, 399]",
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,hypomelanus,Y,neautralizing antibodies,[396],
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,lylei,Y,antibodies,[395],may cross-react with 4 diff viruses
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,poliocephalus,Y,isolation,"[322, 397, 377]",
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,scapulatus,Y,isolation,"[322, 397, 377]",
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Rousettus,amplexicaudatus,Y,neautralizing antibodies,[396],
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Saccolaimus,flaviventris,Y,isolation,"[320, 322]",
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Scotophilus,kuhlii,Y,neautralizing antibodies,[396],
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Taphozous,melanopogon,Y,neautralizing antibodies,[396],
Bunyaviridae,unassigned,Bangui virus,Pipistrellus,,Y,isolation,[320],species not given
Bunyaviridae,unassigned,Bangui virus,Scotophilus,,Y,isolation,[320],species not given
Bunyaviridae,unassigned,Bangui virus,Tadarida,,Y,isolation,[320],species not given
Adenoviridae,Mastadenovirus,bat adenovirus (BtAdV-TJM),Myotis,pilosus,N,isolation then PCR,[315],
Adenoviridae,Mastadenovirus,bat adenovirus (BtAdV-TJM),Nyctalus,noctula,N,PCR,[316],
Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,magnater,N,PCR,[323],
Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,pusillus,N,PCR,[323],
Astroviridae,unassigned,bat astrovirus AFCD337,Myotis,chinensis,N,PCR,[323],
Astroviridae,unassigned,bat astrovirus AFCD337,Myotis,pilosus,N,PCR,[323],
Astroviridae,unassigned,bat astrovirus AFCD337,Rhinolophus,rouxii,N,PCR,[323],
Astroviridae,unassigned,bat astroviruses,Aselliscus,stoliczkanus,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Hipposideros,armiger,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Hipposideros,larvatus,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Hipposideros,pomona,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Ia,io,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Megaderma,lyra,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Miniopterus,schreibersii,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Myotis,pilosus,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Myotis,,N,PCR,[324],species not given
Astroviridae,unassigned,bat astroviruses,Nyctalus,plancyi,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Pipistrellus,abramus,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Pipistrellus,,N,PCR,[324],species not given
Astroviridae,unassigned,bat astroviruses,Rhinolophus,affinis,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Rhinolophus,ferrumequinum,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Rhinolophus,macrotis,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Rhinolophus,pearsonii,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Rhinolophus,sinicus,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Scotophilus,kuhlii,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Taphozous,melanopogon,N,PCR,[324],
Astroviridae,unassigned,bat astroviruses,Tylonycteris,pachypus,N,PCR,[324],
Coronaviridae,Coronavirus,Bat CoV,Hipposideros,caffer,N,PCR,[337],
Adenoviridae,Mastadenovirus,bat FBV1,Pteropus,dasymallus,N,PCR,[316],
Adenoviridae,unassigned,"bat PPV1, AdV",Pipistrellus,pipistrellus,N,virus isolation,[317],
Herpesviridae,unassigned,BatBHV-1,Myotis,nattereri,N,PCR,[374],
Herpesviridae,unassigned,BatBHV-1,Pipistrellus,pipistrellus,N,PCR,[374],
Coronaviridae,Coronavirus,BatCoV BB98-15,Rhinolophus,blasii,N,PCR,[338],
Coronaviridae,Coronavirus,BatCoV BB98-15,Rhinolophus,ferrumequinum,N,PCR,[338],
Coronaviridae,Coronavirus,BatCoV BNM98-30,Nyctalus,leisleri,N,PCR,[338],
Coronaviridae,Coronavirus,BatCoV HKU6,Myotis,daubentonii,N,PCR,[338],
Coronaviridae,Coronavirus,BatCoV HKU6,Myotis,myotis,N,PCR,[314],
Coronaviridae,Coronavirus,BatCoV HKU6,Myotis,pilosus,N,PCR,[338],
Coronaviridae,Coronavirus,BatCoV HKU7,Miniopterus,schreibersii,N,PCR,[338],
Coronaviridae,Coronavirus,BatCoV HKU7,Miniopterus,tristis,N,PCR,[338],
Herpesviridae,unassigned,BatGHV-1,Eptesicus,fuscus,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-1,Myotis,nattereri,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-1,Pipistrellus,nathusii,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-1,Pipistrellus,pipistrellus,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-2,Myotis,myotis,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-2,Myotis,nattereri,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-3,Myotis,myotis,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-3,Myotis,nattereri,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-3,Nyctalus,noctula,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-4,Myotis,nattereri,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-4,Nyctalus,noctula,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-5,Pipistrellus,nathusii,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-6,Pipistrellus,pipistrellus,N,PCR,[374],
Herpesviridae,unassigned,BatGHV-7,Plecotus,auritus,N,PCR,[374],
Bunyaviridae,unassigned,Bhanja virus,,,Y,isolation,[328],"genus, species not identified"
Bunyaviridae,Orthobunyavirus,Bimiti,Anoura,geoffroyi,N,antibodies,[321],
Bunyaviridae,Orthobunyavirus,Bimiti,Carollia,perspicillata,N,antibodies,[321],
Bunyaviridae,Orthobunyavirus,Bimiti,Natalus,tumidirostris,N,antibodies,[321],
Bunyaviridae,Orthobunyavirus,Bimiti,Phyllostomus,hastatus,N,antibodies,[321],
Bunyaviridae,Orthobunyavirus,Bimiti,Pteronotus,parnellii,N,antibodies,[321],
Reoviridae,Orthoreovirus,Broome virus,Pteropus,alecto,N,virus isolated,"[320, 390]",2002
Reoviridae,Orthoreovirus,Broome virus,Pteropus,scapulatus,N,isolation,"[320, 390]",
Flaviviridae,Flavivirus,Bukalasa bat virus,Tadarida,pumila,N,isolation,[320],
Flaviviridae,Flavivirus,Bussuguara,,,Y,antibodies,[351],"genus, species not identified"
Bunyaviridae,Orthobunyavirus,California encephalitis virus,Myotis,septentrionalis,Y,antibodies,[329],
Flaviviridae,Flavivirus,Carey Island virus,Cynopterus,brachyotis,N,virus isolated,"[320, 31]",
Flaviviridae,Flavivirus,Carey Island virus,Macroglossus,minimus,N,isolation,[320],
Bunyaviridae,Orthobunyavirus,Catu virus,Anoura,geoffroyi,Y,antibodies,[321],
Bunyaviridae,Orthobunyavirus,Catu virus,Carollia,perspicillata,Y,antibodies,[321],
Bunyaviridae,Orthobunyavirus,Catu virus,Molossus,molossus,Y,?,[328],
Bunyaviridae,Orthobunyavirus,Catu virus,Phyllostomus,hastatus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Central European encephalitis virus,,,Y,isolation,[320],"genus, species not identified"
Togaviridae,Alphavirus,Chikungunya virus,Eidolon,,Y,isolation,"[320, 351]",species not given
Togaviridae,Alphavirus,Chikungunya virus,Hipposideros,caffer,Y,isolation,"[320, 351]",
Togaviridae,Alphavirus,Chikungunya virus,Rousettus,aegyptiacus,Y,isolation,"[320, 351]",
Togaviridae,Alphavirus,Chikungunya virus,Rousettus,leschenaultii,Y,isolation,[450],
Togaviridae,Alphavirus,Chikungunya virus,Scotophilus,,Y,isolation,"[320, 351]",species not given
Togaviridae,Alphavirus,Chikungunya virus,Tadarida,pumila,Y,isolation,"[320, 351]",
Togaviridae,Alphavirus,Chikungunya virus,Tadarida,,Y,isolation,"[320, 351]",species not given
Reoviridae,Orbivirus,Chobar Gorge virus,Nycteris,gambiensis,N,isolation,"[320, 118]",
Reoviridae,Orbivirus,Chobar Gorge virus,Nycteris,nana,N,isolation,"[320, 118]",
Rhabdoviridae,Vesiculovirus,Cocal,Phyllostomus,hastatus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dakar bat virus,Otomops,,N,isolation,"[320, 351]",species not identified
Flaviviridae,Flavivirus,Dakar bat virus,Scotophilus,nigrita,N,isolation,"[320, 351, 328]",
Flaviviridae,Flavivirus,Dakar bat virus,Tadarida,condylura,N,isolation,"[320, 351, 35]",
Flaviviridae,Flavivirus,Dakar bat virus,Tadarida,pumila,N,isolation,"[320, 351]",
Flaviviridae,Flavivirus,Dakar bat virus,Taphozous,perforatus,N,isolation,"[320, 351]",
Flaviviridae,Flavivirus,Dengue virus,Anoura,geoffroyi,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Artibeus,cinereus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Artibeus,jamaicensis,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Artibeus,lituratus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Carollia,brevicauda,Y,PCR,[352],
Flaviviridae,Flavivirus,Dengue virus,Carollia,perspicillata,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Cynopterus,,Y,antibodies,[351],species not given
Flaviviridae,Flavivirus,Dengue virus,Desmodus,rotundus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Eonycteris,,Y,antibodies,[351],species not given
Flaviviridae,Flavivirus,Dengue virus,Hipposideros,,Y,antibodies,[351],species not given
Flaviviridae,Flavivirus,Dengue virus,Molossus,molossus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Molossus,rufus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Myotis,nigricans,Y,"antibodies, then PCR",[352],
Flaviviridae,Flavivirus,Dengue virus,Natalus,stramineus,Y,"antibodies, then PCR",[352],
Flaviviridae,Flavivirus,Dengue virus,Phyllostomus,hastatus,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Pteronotus,davyi,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Pteronotus,parnellii,Y,antibodies,[321],
Flaviviridae,Flavivirus,Dengue virus,Pteropus,alecto,Y,antibodies,"[351, 353]",
Flaviviridae,Flavivirus,Dengue virus,Pteropus,scapulatus,Y,antibodies,[354],under Pteropus gouldi (subspecies)
Flaviviridae,Flavivirus,Dengue virus,Rousettus,leschenaultii,Y,RT-PCR,[322],
Flaviviridae,Flavivirus,Dengue virus,Scotophilus,kuhlii,Y,antibodies,"[351, 357]",
Flaviviridae,Flavivirus,Dengue virus,Uroderma,,Y,antibodies,[355],species not given
Rhabdoviridae,Lyssavirus,Duvenhage virus,Miniopterus,schreibersii,Y,culture,"[322, 328, 400]",
Rhabdoviridae,Lyssavirus,Duvenhage virus,Nycteris,thebaica,Y,isolation,"[322, 328]",
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Artibeus,jamaicensis,Y,antibodies,[365],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Artibeus,lituratus,Y,antibodies,[365],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Carollia,perspicillata,Y,"antibodies, HI postive sera, neutralization test negative",[321],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Eptesicus,fuscus,Y,antibodies,[351],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Glossophaga,soricina,Y,antibodies,[365],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Lasiurus,cinereus,Y,isolation,"[351, 329]",
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Myotis,lucifugus,Y,antibodies,[351],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Myotis,septentrionalis,Y,antibodies,[329],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Phyllostomus,hastatus,Y,"antibodies, HI postive sera, neutralization test negative",[321],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Platyrrhinus,helleri,Y,"antibodies, HI postive sera, neutralization test negative",[321],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Rhynchonycteris,naso,Y,antibodies,[365],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Sturnira,lilium,Y,antibodies,[365],
Togaviridae,Alphavirus,Eastern equine encephalitis virus,Tadarida,brasiliensis,Y,antibodies,"[351, 451, 454]",
Filoviridae,Ebolavirus,Ebola-Zaire virus,Eidolon,helvum,Y,antibodies,[347],
Filoviridae,Ebolavirus,Ebola-Zaire virus,Epomops,franqueti,Y,"antibodies, PCR","[348, 320]",
Filoviridae,Ebolavirus,Ebola-Zaire virus,Hypsignathus,monstrosus,Y,"antibodies, PCR","[348, 320]",
Filoviridae,Ebolavirus,Ebola-Zaire virus,Micropteropus,pusillus,Y,antibodies,[349],
Filoviridae,Ebolavirus,Ebola-Zaire virus,Myonycteris,torquata,Y,"antibodies, PCR","[348, 320]",
Filoviridae,Ebolavirus,Ebola-Zaire virus,Rousettus,aegyptiacus,Y,antibodies,[349],
Filoviridae,Ebolavirus,Ebola-Zaire virus,Tadarida,condylura,Y,antibodies,[349],
Flaviviridae,Flavivirus,Entebbe bat virus,Eidolon,,Y,isolation,"[320, 351]",species not given
Flaviviridae,Flavivirus,Entebbe bat virus,Pipistrellus,pipistrellus,Y,isolation,"[328, 356]",Sokoluk virus
Flaviviridae,Flavivirus,Entebbe bat virus,Rhinolophus,,Y,isolation,"[320, 351]",species not given
Flaviviridae,Flavivirus,Entebbe bat virus,Rousettus,,Y,isolation,"[320, 351]",species not given
Flaviviridae,Flavivirus,Entebbe bat virus,Tadarida,condylura,Y,isolation,"[320, 351]",
Flaviviridae,Flavivirus,Entebbe bat virus,Tadarida,pumila,Y,isolation,"[320, 351]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Barbastella,barbastellus,Y,RT-PCR brain,[401],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Eptesicus,serotinus,Y,virus isolated,[320],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Miniopterus,schreibersii,Y,antibodies and PCR,"[320, 402]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Myotis,myotis,Y,IFA,[401],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Myotis,nattereri,Y,isolation,[320],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Nyctalus,noctula,Y,isolation,[401],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Pipistrellus,nathusii,Y,isolation and antibodies,"[401, 403]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Pipistrellus,pipistrellus,Y,isolation and antibodies,"[401, 403]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Plecotus,auritus,Y,isolation and antibodies,"[404, 405]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Rhinolophus,ferrumequinum,Y,isolation,"[320, 403]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Rousettus,aegyptiacus,Y,isolation,[320],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Tadarida,teniotis,Y,antibodies,[401],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Vespertilio,murinus,Y,isolation,"[328, 403]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Myotis,dasycneme,Y,isolation,"[320, 406]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Myotis,daubentonii,Y,isolation,"[401, 406]",
Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Myotis,myotis,Y,isolation,[320],
Rhabdoviridae,Lyssavirus,European bat lyssavirus 2,Nyctalus,noctula,Y,isolation,[403],
Flaviviridae,unassigned,GB virus D,Pteropus,giganteus,N,PCR,[370],
Rhabdoviridae,unassigned,Gossas virus,Tadarida,,N,isolation,"[320, 35]",species not given
Bunyaviridae,Orthobunyavirus,Guama virus,Anoura,geoffroyi,Y,"antibodies, HI pos",[321],
Bunyaviridae,Orthobunyavirus,Guama virus,Artibeus,lituratus,Y,"antibodies, N pos",[321],
Bunyaviridae,Orthobunyavirus,Guama virus,Phyllostomus,hastatus,Y,"antibodies, HI pos and N pos",[321],
Bunyaviridae,Hantavirus,Hantaan virus,Eptesicus,serotinus,Y,virus isolated,"[320, 325]",
Bunyaviridae,Hantavirus,Hantaan virus,Rhinolophus,ferrumequinum,Y,virus isolated,"[320, 325]",
Paramyxoviridae,Henipavirus,Hendra virus,Dobsonia,anderseni,Y,antibodies,[377],
Paramyxoviridae,Henipavirus,Hendra virus,Dobsonia,moluccensis,Y,antibodies,[377],
Paramyxoviridae,Henipavirus,Hendra virus,Eidolon,dupreanum,Y,antibodies,[378],
Paramyxoviridae,Henipavirus,Hendra virus,Eidolon,helvum,Y,antibodies,[379],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,admiralitatum,Y,antibodies,[377],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,alecto,Y,isolation,[320],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,capistratus,Y,antibodies,[377],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,conspicillatus,Y,isolation,"[320, 377]",
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,hypomelanus,Y,antibodies,[377],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,neohibernicus,Y,antibodies,[377],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,poliocephalus,Y,isolation,[320],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,rufus,Y,antibodies,[378],
Paramyxoviridae,Henipavirus,Hendra virus,Pteropus,scapulatus,Y,isolation,[320],
Adenoviridae,Mastadenovirus,Hipposideros adenovirus,Hipposideros,armiger,N,PCR,[315],
Reoviridae,Orbivirus,Ife virus,Eidolon,helvum,N,virus isolated,"[320, 389]",
Flaviviridae,Flavivirus,Ilheus virus,Anoura,geoffroyi,N,"antibodies, neutralization test positive",[321],
Flaviviridae,Flavivirus,Ilheus virus,Artibeus,cinereus,N,"antibodies, HI pos",[321],
Flaviviridae,Flavivirus,Ilheus virus,Artibeus,jamaicensis,N,"antibodies, HI pos, N test negative",[321],
Flaviviridae,Flavivirus,Ilheus virus,Artibeus,lituratus,N,"antibodies, HI pos, N test negative",[321],
Flaviviridae,Flavivirus,Ilheus virus,Carollia,perspicillata,N,"antibodies, HI pos & neutralization test positive","[351, 321]",
