namemodel,REM,NW5,NW6,NW7,SW6,SW9,SW8,SW7,SW5,SW4,NW1,NW2,NW3,NW4,SW1,SW2,SW3,NE3,SE3,SE4,NE1,NE2,SE2,gas,SE1
iter50,0.600448604,0.5885308444,0.3194118448,-1.9053213101,-1.3054786436,-2.61686822,0.168953059,3.8847237985,-1.1373519973,-0.0229557375,0.6631221295,0.6163631848,0.6147535853,-0.3485875742,-0.3896527936,-2.3482430515,-0.3227630383,0.2422961597,0.4601493218,-0.764517532,-0.1148311523,-0.1756802281,-0.1283615076,-0.28777554,0.4302360444
iter51,0.1010137528,0.0694109661,-0.1354368739,-0.3014985912,-0.9532941635,-3.1683015823,1.3657147443,0.6383261798,-0.8165925368,-0.3187458093,0.0597389437,0.1177530313,-0.0048154693,0.0578292078,0.5737179674,0.5473611934,-1.6965687544,-0.595653259,-0.5069581584,-1.7045442052,-0.4270202849,-0.5809279805,-0.4685059405,-0.5226688839,-1.4366317254
iter52,0.4815355442,0.3953699595,0.0793527989,0.3260842119,-0.7875602906,-2.1021970819,-0.2499135308,1.5851921519,-0.7478583667,-3.7942791527,-0.3242321745,-0.3017126533,-0.2575344258,-0.1602480899,0.168664352,-0.7007440846,-4.6985886527,-0.450224021,-0.4772010051,-3.1459184375,-0.1762454079,-0.2782745958,-0.421409019,-0.277562786,-1.8353801811
iter53,-0.9692037855,-1.0654092331,-1.1083077444,-0.3537971581,0.0411090743,0.3241097122,1.7247432499,0.7735927473,1.5891034169,2.7870499444,-0.0264586542,0.0306941157,0.0277934283,-0.2593741343,0.4095070422,1.0133204972,1.5089779166,0.4708278193,-0.1870687611,0.3321802534,0.2945972182,0.2244378059,0.2170159166,0.2126494099,-0.8203841121
iter54,-0.2081602027,-0.401418691,-1.1462118043,-1.9227541658,-1.719813326,-1.9551481853,-4.139389008,-5.5839359227,-2.7182379097,-0.9103259528,0.6631221295,0.6638498661,0.4924702193,-1.4885370847,-2.3930260806,-2.3482430515,-1.0859884361,-0.1662907469,-0.6631832128,-2.8325762131,0.7398505712,0.6040369664,0.7089170965,0.5241384093,0.3396113954
iter55,1.4685139407,1.6267706011,2.1767107795,2.4703254557,5.0752754659,3.4856609893,-0.3097516151,-1.120139197,3.1470779393,-0.7624309169,0.8668619065,0.9645988475,1.2832359864,1.2671669493,1.153929903,2.5276882345,-1.1368701293,1.5719349067,1.3007889007,1.1468700368,1.7173608058,1.6094617699,1.6613215087,1.5505201944,0.5933604126
iter56,-0.1011384489,-0.2324029167,-0.1480715605,0.3958156344,-0.186775001,1.9416475749,-0.4294277836,1.1793924496,2.1160653877,1.8996797291,0.6944667105,0.4818175878,0.3375779556,0.5237216164,0.3547700672,1.1298103231,5.0198147468,0.0345401055,-0.1052365897,4.1862896135,0.2536543812,0.0910651279,0.0495601958,0.0543517216,2.5146029718
iter57,-0.8383994197,-1.0654092331,-1.3230974171,-1.7135598981,0.4554437567,4.2209054724,2.8018287667,10.9185853057,1.0392300561,2.4173123547,-0.7003671474,-0.7449216786,-0.8281901341,-1.855303449,-1.4187079246,0.3476643489,3.1880737919,-0.6787556807,-1.1169797997,2.2435678222,-0.5856737785,-0.6527440379,-0.63072867,-0.7269239655,1.5177318326
iter58,-0.006008001,0.0211207448,-0.0090900076,0.0820242329,0.3518600861,-2.1021970819,-4.139389008,-0.8496060621,-0.6333014165,-2.1674337579,-0.4182659177,-0.3096271002,-0.200468855,-0.3188497609,0.0263482168,-0.734026892,-0.0174728791,0.1037921235,0.4303921686,1.585549151,0.9752718842,0.8502634489,0.7978779482,0.7692445072,2.1158545162
iter59,1.0285356194,0.998997725,1.2417439688,3.4639982272,2.7342845101,4.1473810241,3.4600476936,9.2953864964,4.7966980219,7.519691093,2.2225150381,2.4050281797,2.7017230325,3.675929828,4.5585697514,5.9225345905,8.5815332702,3.4486645964,3.7483147543,6.6930274087,2.0807284847,2.0095798039,1.9753009852,1.9130729642,2.3877284632
iter60,1.5279704706,1.4456822714,0.7110871304,0.0820242329,-1.2226117071,-0.3376103225,1.2460385758,3.7494572311,0.1227744547,1.4559946214,0.6082691126,0.537218716,0.6962758293,0.8904879806,0.8145606576,-0.1848605697,-0.9333433565,0.3946505994,0.393195727,-2.0178864296,0.269007945,0.2244378059,0.3321417247,0.0645644757,-0.3491359372
iter61,1.5993183065,1.7112784883,2.1135373463,1.6509812406,3.1279024585,3.8532832308,7.409361255,10.6480521708,3.6969513002,12.6220698312,1.5172619638,1.5027812353,1.6989994309,1.8222727979,1.6903522585,1.8620320862,8.2253614179,1.2256748163,1.2784710358,6.0663429599,1.6252394225,1.4966079654,1.478166814,1.4075416372,3.6020987601
iter62,-0.4103124044,-0.5221442441,-0.7292671455,0.5875770465,0.662611098,3.6327098859,0.1091149747,2.1262584217,3.9718879806,-1.5019060964,0.4515462072,0.4976464816,0.4517090972,1.2572543449,1.3400356182,1.4626383973,0.28781728,0.5331546356,0.9288244852,0.80219359,0.2024758348,0.0910651279,0.243180873,0.0032879512,0.5752354828
iter63,-0.1011384489,-0.1358224742,-0.3502265466,-0.6675885596,-1.3469121119,1.5372631092,3.6395619464,8.3485205242,0.6497364255,2.7131024265,0.8120088896,0.8854543787,0.8593203174,1.1878661138,1.3290882232,1.7954664714,2.933665326,1.0594699729,1.1891995761,1.3975438164,0.2485365265,0.1782703405,0.2274818992,0.0135007053,0.5933604126
iter64,0.3864050964,0.455732736,1.0522236694,0.0820242329,-1.3054786436,-0.0067503052,-2.2245703116,-8.5598004065,-1.5039342378,-3.6463841168,-0.5201358062,-0.4837449315,-0.7303634412,0.5336342208,0.5846653624,-1.4496072513,-3.0194927774,-0.415598012,-0.1201151663,-2.6445708784,0.3713650377,0.3116430185,0.2798118119,0.1717983936,-0.6572597439
iter65,1.1474486792,1.2766664971,1.2164745956,-0.2492000243,0.7869115027,-1.7345748403,-2.7032749857,-0.5790729272,1.9327742675,-4.6816493681,0.0283943627,0.1177530313,0.0440978771,1.2572543449,1.132035113,0.796982249,-3.6809547889,-0.2147671596,-0.1275544546,-2.4565655438,0.2485365265,0.0859354095,0.2222489079,-0.0018184258,-2.1435039878
iter66,0.2080355066,0.5160955126,0.382585278,-0.8244842604,-1.5333627189,-1.0360925814,-0.0105611938,2.3967915566,0.7184705956,1.3820471035,-0.3242321745,-0.3808571221,-0.1923166306,0.7021484963,0.4423492273,0.1978917156,-1.7474504476,-0.8657361295,-0.6706225011,-0.5138437525,-0.5703202146,-0.7296898137,-0.9447081465,-0.7677749818,-0.8022591823
iter67,-1.5162038607,-1.451731003,-1.702138016,-1.4172013522,-1.9062639331,-2.9844904615,2.5026383453,7.8074542545,-1.2977317275,2.047574765,-0.5749888231,-0.5945471878,-0.583623402,-0.8243925873,-0.5429163237,-0.7839511031,-0.2718813451,-0.955763753,-1.2136905477,-1.8612153174,-0.5600845053,-0.6630034747,-0.688291574,-0.7320303425,-0.9653835505
iter68,1.3139269629,1.2525213865,1.7092273742,1.9124740752,1.9263318794,-0.3743725467,-1.2671609633,-0.4438063597,1.0850528362,0.0509917805,1.3840474942,1.4790378947,1.6582383089,1.1184778827,1.3509830132,2.0783703344,1.2545694507,1.6619625302,1.1594424228,1.4288780388,1.4307609465,1.3068083852,1.2060512677,1.2747758342,0.3396113954
iter69,0.4815355442,0.4798778466,0.963780863,0.1168899442,0.1861262132,2.8974654029,5.8535710642,10.3775190359,0.5580908653,4.9315279649,0.0519027985,0.1256674782,0.1093156723,0.1569552521,0.4532966223,-0.2514261845,1.610741303,0.3115481778,-0.0234044183,1.2408727042,0.1461794339,-0.0063995214,-0.1283615076,0.0390325905,0.5933604126
iter70,0.0772311408,0.1539188533,-0.2365143669,2.1913997654,2.7550012443,5.9487300075,7.170008918,9.8364527662,1.1537870063,4.6357378931,0.357512464,0.4264164597,0.8756247662,0.1073922299,0.8474028427,2.3446327937,4.6127612013,1.668887732,1.1668817111,2.2122335998,0.4890756942,0.3475510472,0.3269087334,0.35052159,-1.1285079188
iter71,-0.1962688967,-0.2927656932,-0.3628612332,0.2389199337,-1.3261953777,-2.4698193234,-1.5065133004,-1.7964720342,-1.5497570179,-0.4666408452,-0.0107863637,-0.0959370344,0.0604023259,0.1272174388,-0.1707048934,-0.1349363585,-2.8668476978,-0.4779248283,-0.5441545999,-2.331228654,0.1001187422,-0.1089938891,-0.2382543243,-0.1396906059,-0.2585112882
iter72,-1.1594646812,-1.4396584477,-1.2472892973,-1.0162456724,-0.9532941635,-1.8816237369,1.8444194184,-0.9848726295,-0.976972267,2.3433648368,-0.1988538502,-0.1434237157,-0.0455765914,-0.0908598588,0.223401327,-0.4344816253,1.5089779166,0.2630717651,0.1476992128,0.4888513656,-0.1813632625,-0.2782745958,-0.2434873156,-0.3745839497,-0.3128860776
iter73,-0.5530080762,-0.5342167994,-0.8177099519,-0.4932600032,0.3725768203,0.9490675228,-3.4213319969,-6.1250021925,-1.1602633873,-4.6816493681,-0.6455141305,-0.6578627629,-0.7385156656,-0.7847421696,-1.1997600244,-1.2332690032,-2.5106758455,-0.4987004337,-0.3135366623,-0.3258384179,-0.3348989015,-0.3962581186,-0.3115162022,-0.4920306216,-0.5303852352
iter74,-0.0654645309,-0.2203303614,-0.9187874449,-1.765858465,-1.9062639331,-0.0067503052,1.2460385758,0.6383261798,-1.2519089475,0.5686244061,-0.7865647453,-0.8240661474,-0.6732978704,-1.8751286579,-2.2507099455,-1.9987735736,0.1351722005,-0.2978695813,-0.5069581584,-0.3571726403,-0.258131082,-0.3552203716,-0.3795450888,-0.4256477201,1.2277329558
iter75,0.7312529698,0.7454740635,1.4186295817,3.9346853295,3.397220002,4.2209054724,6.3322757383,3.3436575287,3.7198626902,4.1920527854,2.2930403455,2.2625681358,2.1555239975,3.0712609572,3.9345682358,2.9770061345,1.3563328371,2.2229038766,1.9703248485,3.2462629403,1.4614680742,1.3375866955,1.1380223811,1.2952013424,1.1008584471
iter76,0.0296659169,0.1659914086,0.5594708908,-0.214334313,-0.1453415328,0.5446830571,2.4428002611,-2.6080714389,1.2454325664,3.8962627136,0.1381003964,0.0227796688,-0.1678599574,0.3651199454,-0.2692314485,-0.168219166,4.1548259626,0.8378635151,0.7502815658,3.935615834,0.9957433028,0.9066903511,0.7612470093,0.7998827695,2.6052276209
iter77,-0.5767906881,-0.3169108038,-0.097532814,-0.7373199822,-0.7254100882,-1.0360925814,2.2632860083,-0.0380066574,-0.312541956,-2.9069089374,0.0832473795,0.1256674782,0.2315990383,-0.6558783119,-0.6852324589,0.2810987341,-3.9353632548,0.2215205543,0.4750278984,-2.1118890969,0.5095471127,0.2706052714,0.2484138643,0.3454152129,-2.3972530051
iter78,0.6717964399,0.7816917294,1.1153971025,0.0122928104,1.4084135264,-0.447896995,0.2886292275,0.6383261798,1.4974578568,0.1988868164,0.2791510113,0.5213898222,0.7859502978,0.7021484963,0.8036132626,1.2962243602,1.1528060643,0.8309383133,1.1445638462,1.3662095939,-0.2018346811,-0.2936637509,-0.1859244116,-0.3235201793,-0.2403863584
iter79,-0.0654645309,-0.0754596976,0.1298915454,0.4306813457,-0.8497104929,-0.9625681331,-1.1474847948,-0.3085397923,-2.5578581795,-1.8716436861,-0.7865647453,-0.9902695318,-0.8037334609,-1.4389740625,-1.3968131346,-2.148546207,-0.7298165838,-0.415598012,-0.6036689064,-0.0751646383,0.171768707,0.0500273809,-0.1021965512,0.0186070824,1.2096080259
iter80,-1.4567473308,-1.644891888,-1.1967505508,-1.6612613311,-1.4090623142,1.0225919711,1.7247432499,1.9909918543,-0.1063394457,1.4559946214,-0.4652827893,-0.4995738253,-0.3635133431,-0.6162278941,-0.8713381741,-0.5010472401,1.6616229962,-0.3117199849,-0.2168259143,0.1441749187,-0.3297810469,-0.4783336128,-0.4266420103,-0.5533071461,-0.9835084803
iter81,-0.4222037104,-0.2806931379,-0.438669353,-1.5915299086,-1.6783798578,1.0593541953,0.8271719859,7.4016545521,1.7494831472,1.7517846932,0.4828907883,0.5451331629,0.5250791169,0.6129350563,0.6612971275,-0.2347847808,2.7301385532,0.4292766085,0.5642993581,-1.4538704257,-0.0585347514,-0.0884750155,-0.1492934727,-0.1958607533,-1.3641320062
iter82,0.3150572605,-0.0633871423,0.3320465315,-0.8767828273,-0.3939423422,2.3092698164,1.6050670814,4.019990366,0.0998630646,4.1920527854,0.5455799504,0.537218716,0.4517090972,0.8210997496,0.1248747719,0.3143815415,2.5266117805,0.9417415422,0.6907672594,2.2122335998,-0.1045954431,-0.2423665671,-0.4266420103,-0.2724564089,0.466485904
iter83,-0.695703748,-0.7635953503,-0.9693261915,-0.5978571371,-1.2640451754,-2.6536304442,-3.7205224182,-2.2022717365,-1.1144406072,-1.0582209887,0.4358739167,0.4105875659,0.2560557116,-0.953256445,-0.772811619,-0.5676128549,0.8475159051,0.553930241,-0.1498723195,2.0555624876,0.2434186719,0.132102875,0.0757251522,-0.0120311799,0.6839850616
iter84,-0.66002983,-0.7877404609,-0.5271121594,0.3435170675,0.8076282368,0.8020186262,-0.1302373623,-3.8254705459,0.328976965,-1.4279585785,-0.4966273704,-0.4837449315,-0.6080800752,-0.3783253876,-0.2254418684,0.5806440008,-0.8315799702,0.0345401055,-0.0382829949,-1.2031966462,-0.0380633329,-0.1243830442,-0.2748852633,-0.2469245237,-1.6722558129
iter85,0.3507311784,0.2142816298,0.2815077849,0.3783827788,0.4140102885,1.3534519885,0.2287911433,2.2615249892,1.1308756162,-1.5019060964,-0.0734755258,-0.2304826314,0.0033367551,-0.2692867387,-0.3568106086,-0.4011988178,-1.4421602885,0.4085010031,0.3262421322,-1.7358784277,-0.3400167561,-0.3859986819,-0.573165766,-0.4562859824,-1.291632287
iter86,1.1117747612,0.962780059,1.0395889828,1.2500255608,1.346263324,-0.4111347708,0.5279815646,-6.1250021925,-0.2667191759,-3.5724365989,-0.661186421,-0.7449216786,-0.7385156656,0.265993901,0.6065601524,-1.016930755,-1.0351067429,-0.1455151415,-0.5143974467,1.2408727042,0.6579648971,0.5835180929,0.6147232536,0.4424363767,0.738359851
iter87,1.1712312912,1.1921586099,0.7110871304,1.4069212616,-0.0831913304,-0.4846592192,-2.7032749857,-0.5790729272,-0.1750736158,0.0509917805,0.4437100619,0.5530476097,0.3946435264,0.8012745407,1.5042465433,1.5125626084,-0.9842250497,0.6231822591,0.6461315295,0.0815064739,0.3713650377,0.1936594956,0.1123560911,0.1717983936,-0.1135118497
iter88,-0.1962688967,-0.1841126954,-0.5650162193,0.6398756134,1.8434649429,0.5446830571,0.7673339017,2.3967915566,1.1308756162,1.6038896573,-0.3320683197,-0.2858837595,-0.1270988354,-0.7054413341,-0.3677580036,1.6789766454,1.5598596098,-0.6856808825,-0.9756333218,2.2435678222,-0.1813632625,-0.3398312164,-0.2644192807,-0.3592648186,0.2489867463
iter89,0.5647746861,0.7454740635,0.9258768031,1.8078769413,2.8585849149,6.3531144732,7.9479040134,10.9185853057,3.8344196404,8.9246939339,0.4437100619,0.4185020128,0.4761657704,1.554632478,2.150142849,1.6124110306,6.0883303038,0.6578082681,0.8395530255,-0.0751646383,0.3713650377,0.3372916104,0.2588798468,0.1666920165,-2.1978787772
iter90,-0.2676167326,-0.1720401401,-0.6534590257,-0.5106928589,-1.8441137308,-5.3005105831,-10.6019021086,-11.2651317554,-1.2289975574,-8.1571827115,-0.8884346338,-0.911125063,-0.6406889728,-1.5083622936,-0.805653804,-1.3331174254,-5.309168971,-0.990389762,-1.0351476283,-2.0178864296,-0.8569200739,-0.9092299571,-0.9813390855,-1.0333065879,-2.5966272329
iter91,-1.2545951291,-1.258570118,-0.7419018321,-1.521798486,-3.5221691946,0.287347488,2.4428002611,4.2905235009,-0.0605166656,2.7131024265,-0.5749888231,-0.6103760816,-0.6814500948,0.5435468253,0.8802450277,-0.6841026809,0.796634212,-0.2078419578,-0.0829187247,-2.2998944316,0.1359437246,0.0910651279,-0.0864975774,0.0032879512,-0.9291336909
iter92,-1.1832472932,-0.9809013459,-1.4368095968,-2.0273512996,-2.3413153497,-3.2050638064,-2.6434369014,-4.9076030855,-3.0160859802,-2.1674337579,0.153772687,0.1731541595,0.0522501015,-0.7450917518,-1.5719714548,-1.6825869032,-0.2209996519,-0.1039639307,0.2816064024,-0.4825095301,-0.2120703903,-0.2834043142,-0.3429141499,-0.3235201793,-1.2735073572
iter93,0.4339703203,0.4195150701,0.2056996652,1.1279955714,0.7247613003,-0.5949458916,3.6994000306,13.4886500872,0.9017617159,3.452577606,0.1381003964,0.1573252657,0.2234468139,-0.5567522675,0.5408757824,0.5307197897,-1.1368701293,-0.0416371144,-0.1870687611,-0.1378330832,0.9394469018,0.891301196,0.8083439308,0.861159294,0.6658601318
iter94,-0.1724862848,-0.2806931379,-0.0217246942,0.3958156344,-0.2489252034,0.8020186262,2.3829621768,2.1262584217,1.7494831472,3.5265251239,0.7963365991,0.7667376755,0.7777980734,1.0391770472,1.6137204935,1.762183664,3.3916005647,0.7547610934,0.9139459086,3.2775971628,0.5044292581,0.4296265413,0.3426077072,0.3352024588,1.9889800075
iter95,1.3852747988,1.0955781675,0.9385114897,1.4940855398,1.6155808676,4.4782410414,5.0158378844,2.1262584217,3.9031538105,3.5265251239,1.1567992814,1.130802232,1.3239971084,1.5348072692,1.7779314186,2.3612741974,1.0510426779,1.2810764308,1.3379853422,-0.3885068627,1.1902217788,1.0657116211,0.8816058086,1.0347761133,0.2489867463
iter96,-0.4816602403,-0.5100716888,-0.0596287541,0.9362341593,1.5741473993,1.4637386609,2.0239336712,7.2663879847,1.4745464668,4.9315279649,0.3496763187,0.2839564158,0.3946435264,0.7021484963,0.6831919175,1.6290524343,2.7810202464,1.0802455784,0.5419814932,2.1808993774,1.3386395631,1.2093437359,1.0281295643,1.1675419164,-0.0953869199
iter97,-0.6005733001,-0.8843209034,-1.3104627305,-0.406095725,0.4554437567,-2.6536304442,-1.0876467105,-2.6080714389,-2.0767189887,-4.9774394398,-0.9276153602,-0.784493913,-0.7385156656,-1.2308093693,-2.2288151555,-1.3664002328,-5.2074055846,-0.810334515,-1.221129836,-2.6759051009,-1.1844627704,-1.3093479912,-1.2743865969,-1.3243700792,-1.8535051109
iter98,0.2793833425,0.3591522935,0.7868952501,1.8601755083,1.9884820818,2.934227627,1.2460385758,1.9909918543,0.2144200148,2.1954698009,0.0910835248,-0.0484503531,-0.0455765914,-0.2791993432,-0.0174413632,0.796982249,-0.3227630383,-0.6164288644,-0.5813510414,-0.2945041954,0.3201864914,0.2141783692,0.1542200213,0.1462665084,-1.0560081996
iter99,-0.2319428147,-0.2203303614,-0.0343593808,-0.0225729009,-1.3469121119,-3.0212526857,-1.9852179745,-0.3085397923,-1.595579798,0.1249392984,-0.0578032353,-0.0009636719,-0.2086210794,-0.0313842322,0.2562435121,-0.9503651402,-1.4930419817,-1.0527165783,-0.8938011504,-0.2005015281,0.1205901607,0.0192490705,0.0024632743,-0.155009737,0.6839850616
iter100,0.2556007306,0.0935560767,-0.2365143669,-1.8181570319,-0.9118606953,-1.5140014954,-2.8827892385,-7.8834675693,0.0540402846,-3.1287514912,0.882534197,0.6955076536,0.9245381126,-0.2791993432,-0.0612309433,-0.0184465326,-2.6124392319,0.8101627079,0.1328206362,-3.2399211048,0.7091434434,0.6194261216,0.7664800005,0.5854149338,-0.3128860776
