namemodel,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3
signal_angle,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856
camera_width,2.0944,2.0944,3.49066,3.49066,2.0944,2.0944,3.49066,3.49066,2.0944,2.0944,3.49066,3.49066,2.0944,2.0944,3.49066,3.49066
Radius,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
max_angle_change,0,0,0,0,1.0472,1.0472,1.0472,1.0472,2.0944,2.0944,2.0944,2.0944,3.14159,3.14159,3.14159,3.14159
iter1,1.6534019276,0.4474580116,0.7279130877,0.6426598616,2.5912317935,2.8623073858,1.5276692765,1.0441830493,1.0649596589,1.2438445073,0.8933798854,1.2013008184,-0.3509795503,-0.7085869016,0.1763570954,0.2935092637
iter2,-0.1119248786,-1.9930812496,0.1901459953,-0.9110602993,0.2742403602,1.0126355247,1.2105245809,1.3060459978,0.6236279573,1.2695343943,0.2453015945,1.0267255194,1.0649596589,0.832806316,0.6451796889,0.6950324513
iter3,0.1087409722,-0.2204790493,0.3556127929,0.3807969132,0.4213509274,-1.2480745277,0.7692797871,-0.2651316931,0.3294068229,-0.0149599537,0.5072906908,0.4506270328,-0.8290888937,0.0621097072,0.2866682939,1.3758761173
iter4,-0.8474777146,-0.6572071277,-0.5130878949,-0.282589223,-1.9875846103,-1.2994543016,0.1487792958,-0.4746220518,-0.3693683712,-2.32704978,-1.0508549873,-1.295125957,-1.2336429534,-1.8389419278,0.0798347968,-0.2127591034
iter5,-0.8290888937,0.9355658638,-0.292465498,0.4680845627,-1.3991423415,-0.5287576929,-1.078432787,-1.295125957,1.1752925843,1.1667748465,2.492892263,1.1663857586,-2.4289163119,-1.2737644147,-0.9405437889,-0.7714000601
iter6,0.8259049872,1.4236737161,1.0450577833,0.5379146822,-1.2888094161,-0.9397958842,-2.0436557734,-1.9759696231,-1.4543088042,0.3960782377,-1.7678777773,-1.295125957,-2.3737498492,-2.2756700061,-1.8644000759,-2.0108846829
iter7,1.8372901366,3.5302444467,1.0726355829,1.4631637668,-0.9026441773,-2.4811891018,-1.7402999777,-2.3600352808,-0.8842553564,0.3190085768,-1.1197994864,-0.3524193425,-2.4656939537,-2.5839486496,-0.1407876001,0.415711973
iter8,0.4397397483,0.164869255,0.0108902978,-0.4047919322,-1.8036964013,-2.32704978,-0.6785546926,-0.439706992,-0.4980901175,0.0621097072,-1.5472553804,-1.0856355983,0.4581285692,2.2200602118,0.7417019875,0.5204571523
iter9,-0.5532565802,0.7043568812,-1.8781889757,-0.9808904189,0.2374627184,0.5759074464,-0.430354496,-0.1603865137,-1.7117522968,-2.0444610235,0.2866682939,0.1189339647,0.1271297931,1.0126355247,1.0174799837,0.9568953998
iter10,-0.8658665355,0.1391793681,-1.1060105866,-0.7015699405,-0.4613124757,-1.5563531712,-1.2438995846,-1.644276555,2.0763448083,1.0383254117,0.9761132842,0.7823201008,0.9730155544,-0.1434093885,0.0522569972,0.6775749214
iter11,-0.7187559683,-0.9911756581,-0.3338321974,-0.0730988642,0.7707385245,0.807116429,1.4035691782,2.1963800226,-1.5094752669,-0.4003082581,0.2315126947,0.5379146822,0.5684614946,0.1134894811,0.0936236966,-1.4871587859
iter12,-0.1119248786,-1.2994543016,-0.4579322957,0.415711973,1.3040143306,1.3466040552,0.56244629,1.3060459978,0.6420167782,-0.5287576929,-1.3955774825,-1.9585120932,2.5360653308,2.3998894205,2.2722698661,2.3185827318
iter13,-0.590034222,-0.8113464494,-1.0094882879,-1.295125957,0.5316838528,0.9869456377,-0.8440214902,-0.9808904189,-0.8474777146,-1.3765239625,-1.3817885827,-0.4920795817,-0.7187559683,-0.0920296146,-0.9956993881,-0.4047919322
iter14,-0.1303136995,0.4731478986,0.066045897,0.1538490245,1.8005124948,2.1943703248,0.6451796889,1.1838432885,1.3407919724,2.1943703248,0.9485354846,1.3933336472,1.0097931962,-0.6572071277,0.2728793941,0.8696077503
iter15,-0.9945882818,0.0107299333,-0.9819104883,-0.3698768724,-2.1898616402,-2.8922272931,-0.5544545943,-0.963432889,-1.6014193714,-2.0958407974,-1.2438995846,-1.469701256,-0.5348677593,0.2676288029,-1.2990551839,-0.7015699405
iter16,-1.3623646997,-2.3784295539,-1.57483318,-2.6393557592,-1.3255870579,-1.6077329452,-0.5958212937,-1.0158054787,-0.8658665355,0.4988377855,-1.216321785,-0.5095371116,-0.8842553564,2.3741995336,0.4659239914,0.6426598616
iter17,3.0141746741,1.1924647334,2.4791033632,1.9170595442,1.3591807933,0.4474580116,0.5486573902,0.4331695029,-0.5348677593,-0.2204790493,-0.4441433959,-0.2127591034,-1.0129771027,-2.9179171801,-1.9471334748,-3.5646048438
iter18,1.5430690022,-1.5049733973,1.4035691782,1.1489282287,1.4511248978,0.9355658638,0.5210795906,1.6377390658,0.4765173901,0.9869456377,-0.2373098988,0.6077448018,-1.4726976251,-1.6077329452,-1.147377286,-1.1205506581
iter19,-0.8107000728,-1.0168655451,-1.1335883862,-1.2252958374,2.2602330173,2.5026489684,1.775869473,1.096555639,0.0351856886,1.2952242813,-0.3200432976,0.9568953998,-1.4175311624,-1.8389419278,-0.6923435924,-1.7664792643
iter20,1.1752925843,1.2695343943,1.1967356811,0.6077448018,-1.9140293267,-1.1710048669,-0.8578103901,-0.8237726498,0.862682629,1.0126355247,-2.0850224728,-1.3474985467,0.3477956438,0.8841860899,-0.8578103901,-0.6666548807
iter21,-1.2336429534,-1.710492493,-0.361409997,-1.1903807777,0.3294068229,-0.7599666755,-1.8368222763,-1.9410545633,0.4765173901,2.4512691944,-0.6647657928,0.2935092637,0.7891273454,0.7043568812,0.8244353864,0.8346926905
iter22,0.0903521513,1.5007433769,0.4383461918,1.6377390658,1.1936814052,1.3466040552,2.6032034614,3.0692565174,-0.0199807741,1.2695343943,1.3897802784,1.8297718947,0.1271297931,0.0107299333,-1.2990551839,-1.5046163158
iter23,0.0903521513,-2.5325688757,0.1763570954,0.1014764348,-2.6863598044,-2.4298093279,-2.4159560682,-2.2029175117,-0.2406466249,0.3190085768,0.5900240896,0.8346926905,1.2488478679,1.3466040552,0.9071687852,1.6551965957
iter24,-0.4245348339,1.1153950725,0.1763570954,0.241136674,-0.5348677593,-0.2204790493,-0.8026547908,-0.2476741632,-0.6819783265,-0.7085869016,0.1212014962,0.0141887853,0.2374627184,1.2181546204,0.989902184,2.126549903
iter25,3.216451704,4.3523208294,2.2998476657,2.2312950823,-1.3439758788,-0.7599666755,-0.5544545943,-1.0681780684,0.5132950319,1.0640152986,0.3280349933,0.7299475111,0.4765173901,0.832806316,2.8789814576,1.4980788266
iter26,0.8994602708,-1.1453149799,0.5900240896,-0.2127591034,0.4213509274,1.6291928117,-0.6096101935,0.1363914946,-0.2774242667,1.0897051856,0.1212014962,1.1663857586,2.0763448083,2.733857951,1.0312688835,1.3933336472
iter27,1.1385149425,0.1134894811,1.2932579798,0.4331695029,-0.9761994609,-1.1966947538,-0.7061324922,-0.8761452395,0.9914043753,0.4217681246,-0.002898602,1.1314706988,0.6052391364,1.2695343943,0.5900240896,0.7997776307
iter28,0.2190738975,-0.2461689363,0.9071687852,-0.614282291,1.3224031515,0.1391793681,0.3142460935,-0.0207262745,-0.6268118638,0.2676288029,-1.4920997812,-0.4746220518,-0.4429236548,-0.1434093885,-1.3266329835,-0.9110602993
iter29,1.2488478679,-0.8627262233,1.2381023806,0.6950324513,1.7269572112,2.6310984032,0.6865463883,1.0267255194,0.3477956438,0.5502175594,0.1487792958,-0.1254714539,-0.9026441773,-0.0406498406,-0.1545764999,0.6601173915
iter30,1.5246801813,0.6015973334,1.1691578815,1.3235035277,2.2234553755,2.1686804379,1.5000914769,2.1789224927,-1.0129771027,-0.9397958842,-1.6851443785,-0.2127591034,1.1936814052,2.5797186292,1.0174799837,0.8870652802
iter31,-3.6609673121,-3.2261958236,-2.8434119622,-2.0632572725,-0.5716454011,-0.7599666755,-0.4579322957,0.8870652802,-0.8474777146,-0.4003082581,-0.7612880914,-1.1729232478,2.8118976443,2.6567882901,2.0378585693,2.2487526122
iter32,2.4625100472,2.759547838,1.6931360742,2.0567197834,-0.6635895056,-0.3232385972,0.5762351898,1.096555639,0.1822962557,0.216249029,0.7968575867,-0.614282291,0.4213509274,0.3446984638,1.4863025771,1.3409610576
iter33,1.0281820171,-0.451688032,0.4797128912,0.241136674,0.2926291811,1.0383254117,0.7554908873,0.8696077503,-0.8658665355,-0.0149599537,0.9071687852,0.9918104596,0.0719633304,0.216249029,2.065436369,1.6901116555
iter34,1.1017373007,-1.1453149799,1.1002133825,-0.0032687446,-1.141698849,-1.5820430582,-1.1060105866,-2.0108846829,-1.0129771027,-1.9417014756,0.6176018893,0.7299475111,-0.6084230429,-0.4003082581,-0.9543326887,-0.78885759
iter35,-4.3413536853,-4.9987980238,-2.0436557734,-2.5171530499,-0.2406466249,0.4988377855,-0.1959431993,0.0141887853,-0.9210329982,-0.425998145,0.9623243844,2.0218047236,2.9406193905,3.0421365945,0.5486573902,0.5379146822
iter36,0.8259049872,-0.8627262233,0.424557292,-1.7141066746,-0.222257804,1.3209141682,0.4107683922,1.5853664761,3.032563495,3.8128332033,0.0246791976,0.5204571523,1.579846644,2.6567882901,-1.0232771877,0.1363914946
iter37,0.2742403602,-1.3765239625,-0.002898602,0.0141887853,-2.2450281029,-2.9179171801,-1.8919778756,-1.8363093839,1.8372901366,2.117300664,1.3759913786,2.3360402617,-0.6819783265,0.0877995942,-2.2918559699,-2.2727476313
iter38,2.7199535398,0.4217681246,2.1481697678,1.0616405792,-0.9210329982,-1.9673913626,-0.0304764017,-1.0507205385,-0.7555336101,-0.1690992754,0.3142460935,1.428248707,1.2120702261,2.1429905509,-1.2852662841,0.1363914946
iter39,0.6604055991,0.7043568812,0.2590904943,0.415711973,-1.0129771027,-0.2204790493,1.3208357794,0.9045228101,0.4213509274,1.3979838291,-1.4369441819,-1.2776684271,-0.3142019085,-0.4003082581,0.1901459953,0.3109667936
iter40,-1.4543088042,-2.2242902322,-2.2504892705,-2.5869831695,-0.3142019085,0.3190085768,-0.9267548891,-0.3698768724,2.2970106591,3.3247253511,0.3142460935,1.1140131689,-0.038369595,0.4474580116,-1.3404218833,-0.5269946415
iter41,0.9546267335,2.8623073858,0.4107683922,0.9918104596,0.4029621065,1.7576422465,-0.4027766964,0.1887640843,-0.9761994609,-2.2756700061,-0.2373098988,-0.8586877096,0.2006850766,1.1153950725,0.7692797871,1.3060459978
iter42,0.0351856886,-0.2204790493,-0.0442653015,-0.0556413343,-1.2704205952,-0.5801374668,0.1212014962,1.0267255194,2.2602330173,0.8841860899,0.8244353864,1.3933336472,0.0903521513,-0.8627262233,1.0726355829,2.3185827318
iter43,0.0167968677,0.7300467682,0.2039348951,-0.3175042828,-0.3693683712,-0.6828970146,0.8106464866,0.5029996224,-1.4359199833,-0.0149599537,-0.0442653015,0.3807969132,-1.858862864,-0.3746183711,-2.2229114709,-1.3300410168
iter44,-0.95781064,-0.8113464494,-0.5130878949,-1.3125834869,-0.5716454011,-0.2975487102,-1.1335883862,-0.9285178292,1.0281820171,0.3446984638,-0.0994209007,0.2760517338,1.3040143306,2.1686804379,0.3831905925,0.6252023317
iter45,0.1271297931,0.3703883507,-0.3751988968,-0.3873344023,-0.0935360577,-1.3251441886,0.3418238931,-0.963432889,-1.3623646997,-0.5287576929,-2.1263891723,-1.9061395035,-2.2450281029,-3.2005059367,-1.1611661858,-1.7839367942
iter46,0.9362379126,1.3722939421,0.0522569972,0.7124899812,0.494906211,1.0126355247,0.3142460935,0.1713065544,-2.0243622521,-1.8389419278,-1.505888681,-1.1903807777,1.0281820171,0.0877995942,0.3004571937,0.9045228101
iter47,-0.222257804,0.6529771073,-1.0094882879,-1.1554657179,-2.2082504611,-1.7875621539,-2.6641562647,-3.180539186,-1.0681435654,-0.8627262233,-0.0994209007,-0.2476741632,-0.3693683712,0.3960782377,0.5486573902,0.8346926905
iter48,2.131511271,2.2971298727,1.4035691782,1.3409610576,-0.7923112519,0.0877995942,-0.7612880914,-0.7714000601,1.0097931962,1.47505349,0.852013186,0.8870652802,0.311018002,0.4217681246,0.424557292,0.4331695029
iter49,0.0719633304,0.0877995942,0.1625681956,-0.5444521714,0.2190738975,0.4731478986,-0.5130878949,0.0141887853,-0.773922431,-2.0701509104,-0.5544545943,0.3982544431,1.2488478679,1.1667748465,1.5138803767,1.4457062369
iter50,1.1936814052,-0.3489284841,0.5900240896,0.6950324513,0.862682629,0.5245276725,-0.0166875018,-0.0207262745,-0.773922431,-0.2461689363,-0.0580542013,-0.3349618127,-0.590034222,-0.5030678059,0.1763570954,0.3458818534
iter51,-0.1119248786,1.2695343943,-0.2510987986,-0.1254714539,1.1936814052,1.4236737161,1.1140022823,1.4631637668,0.2374627184,0.807116429,-1.2301106848,-1.9235970334,0.494906211,1.5521231509,-0.4027766964,-0.3698768724
iter52,-0.773922431,1.0383254117,-0.5544545943,-0.5793672312,0.5684614946,0.1391793681,0.4521350916,1.1140131689,2.1682889128,1.2438445073,1.1691578815,1.1489282287,-0.6084230429,-0.8627262233,0.9347465848,1.0790981091
iter53,0.3661844647,0.807116429,0.7141241879,0.7997776307,-0.5532565802,-1.9160115887,-0.9129659893,-0.7714000601,0.2926291811,-0.0149599537,-2.5400561665,-3.861382852,1.8556789575,3.0935163684,0.989902184,2.8597661587
iter54,0.1271297931,-2.8408475192,0.8933798854,-1.1729232478,0.2006850766,-0.6572071277,0.134990396,-0.0032687446,-0.9026441773,-0.3232385972,-0.430354496,-0.0556413343,0.4765173901,1.8860916813,0.920957685,0.4680845627
iter55,2.0763448083,2.091610777,1.2243134808,1.9170595442,-0.9026441773,-0.8884161103,-0.3200432976,-0.1429289838,-1.5646417296,-0.8627262233,-0.8026547908,-0.3524193425,-0.9210329982,-1.3251441886,0.4383461918,0.3458818534
iter56,1.4879025396,1.0897051856,1.0174799837,0.3982544431,-1.0497547445,-0.5287576929,-0.3889877966,-1.3824136065,3.8784492564,3.992662412,0.6727574885,0.572829742,-1.4359199833,0.0621097072,1.4725136773,1.9868896638
iter57,-1.307198237,-2.0701509104,-0.8578103901,-0.7190274704,-1.1600876699,-2.7123980844,-0.6096101935,-1.3649560766,-0.038369595,0.9098759769,0.6176018893,0.6252023317,0.9362379126,0.5245276725,-1.3128440837,-0.3698768724
iter58,-0.4980901175,0.2419389159,0.3969794924,0.0840189049,2.6647870771,3.2219658032,1.2932579798,1.2013008184,-0.2590354458,-1.3251441886,-0.6785546926,-0.5444521714,0.4029621065,0.7300467682,-0.8164436906,0.2236791441
iter59,0.3661844647,3.4274848989,1.8448139721,2.9645113381,-1.1784764908,-2.4811891018,-2.7606785634,-3.0757940066,2.131511271,3.0935163684,1.775869473,2.7550209793,0.9914043753,1.9117815683,-0.5130878949,-1.1729232478
iter60,1.4695137187,1.7833321335,1.0312688835,2.1963800226,0.5684614946,0.3960782377,-0.3889877966,-0.1429289838,-0.3142019085,0.0877995942,-0.650976893,0.2062216142,1.1936814052,0.7557366551,-0.0994209007,-0.4222494621
iter61,2.9957858532,2.3485096466,2.6721479605,2.9994263979,-2.226639282,-2.8151576323,-1.5472553804,-2.2378325715,1.9660118829,1.6291928117,0.1212014962,-0.1778440436,-0.8658665355,-1.6077329452,-0.0718431011,-0.4222494621
iter62,-1.5094752669,0.3960782377,-1.078432787,-0.5269946415,0.3845732856,-0.0663397276,0.1901459953,0.8172351606,2.8302864652,2.1943703248,1.1553689817,1.5679089462,0.2190738975,1.2695343943,0.2315126947,0.8870652802
iter63,-0.0015919532,0.7557366551,0.134990396,0.5379146822,-0.8290888937,1.3466040552,-1.216321785,-0.2127591034,0.0167968677,-0.1434093885,0.5762351898,1.2362158782,3.584228122,2.8623073858,0.7554908873,1.6726541256
iter64,-1.1968653116,0.3703883507,-0.9543326887,-0.9459753591,0.0903521513,-0.2975487102,0.1212014962,-0.3873344023,0.0167968677,0.832806316,2.3550032649,2.9470538082,-1.5646417296,-1.8132520408,-0.6233990933,-0.3524193425
iter65,-0.7555336101,0.6272872203,-0.9129659893,-1.2252958374,0.8075161663,-0.9397958842,1.0864244827,0.6426598616,-0.3693683712,1.3722939421,-0.3200432976,0.3284243235,-0.3142019085,-0.5801374668,1.0588466831,1.6726541256
iter66,-0.0751472368,0.3703883507,-0.430354496,0.1538490245,0.3845732856,2.4769590814,-0.292465498,-0.9983479488,0.6420167782,1.8347119074,0.6727574885,1.428248707,0.862682629,0.0107299333,1.5966137755,2.0043471937
iter67,-1.6198081923,-1.7875621539,-1.1197994864,-2.2203750416,-0.8107000728,0.3960782377,-0.5958212937,-0.0381838044,-0.406146013,-0.6572071277,-1.5886220798,-1.3998711364,0.3477956438,2.6824781771,-0.0304764017,0.7997776307
iter68,1.2120702261,1.2181546204,1.3346246792,1.3060459978,-2.8702480134,-3.1748160497,-1.933344575,-2.2378325715,0.9362379126,0.3190085768,1.3070468796,1.3235035277,1.3224031515,2.2457500988,0.2728793941,0.1713065544
iter69,-0.0751472368,0.7557366551,-0.4441433959,0.1014764348,0.0167968677,-0.4003082581,-0.1132098005,-0.5444521714,0.4029621065,1.0897051856,0.4797128912,1.0092679895,0.3845732856,-0.5801374668,-0.0994209007,-0.282589223
iter70,1.5982354649,0.3703883507,1.4449358777,1.3060459978,-0.4980901175,-0.0406498406,-1.2714773843,-0.9110602993,-3.1460803269,-2.1472205713,-3.2708678562,-2.5171530499,-3.0725250433,-4.1767216411,-1.4783108814,-1.9061395035
iter71,0.0167968677,0.9098759769,-0.1132098005,0.5204571523,-0.2406466249,0.2419389159,-0.1821542995,-0.1254714539,-0.6635895056,-1.068245319,-1.3955774825,-1.7315642045,0.5500726737,1.9888512292,0.0936236966,0.0491038451
iter72,0.4029621065,1.6035029248,-0.1269987003,0.2236791441,0.7339608827,2.06592089,0.2728793941,0.9394378699,2.6096206144,3.4017950119,1.4587247775,1.1140131689,0.1087409722,0.7300467682,0.0108902978,-0.2127591034
iter73,-0.6268118638,-0.5030678059,-0.9956993881,-0.8237726498,-0.2774242667,1.6035029248,-0.292465498,0.3633393833,-1.2888094161,-2.0187711365,-0.3889877966,-0.8586877096,-0.773922431,0.0877995942,-0.3200432976,0.6775749214
iter74,-1.2152541325,-3.1748160497,-0.8991770895,-1.3300410168,-0.3693683712,-0.8627262233,-0.2235209989,-0.1778440436,1.2856255097,2.708168064,1.2932579798,1.8996020143,-1.0497547445,-0.6058273537,-1.5472553804,-1.4522437261
iter75,2.1499000919,2.5540287423,2.134380868,1.4980788266,0.2742403602,1.1153950725,-1.3817885827,-0.6841124106,-0.3693683712,0.8584962029,-0.1269987003,0.4506270328,-1.8956405058,-1.5820430582,0.3004571937,0.2585942039
iter76,1.2488478679,-0.0149599537,2.2171142668,1.4806212967,-1.1784764908,-0.8370363364,0.3142460935,0.3633393833,-0.6635895056,-1.6591127191,-0.2786765982,-0.7714000601,-0.6819783265,-0.1690992754,0.066045897,-0.7539425302
iter77,-0.4797012966,-1.068245319,-0.4165655962,0.4855420926,-0.6819783265,-0.425998145,-0.8302325904,-0.5269946415,-0.2958130876,-0.2718588233,0.3280349933,0.5029996224,0.9546267335,0.832806316,0.9623243844,1.8472294246
iter78,1.0097931962,0.7043568812,0.2039348951,1.271130938,0.67879442,0.9612557508,0.5210795906,0.066561375,0.8075161663,1.8604017944,1.5828248757,2.283667672,-3.0357474015,-2.9436070671,-3.2432900566,-4.5247689882
iter79,-1.4543088042,-1.4022138495,-0.4027766964,-0.5269946415,-0.6268118638,-1.6591127191,-0.7474991916,-1.3649560766,1.1569037634,1.0383254117,0.9347465848,0.2236791441,-0.406146013,0.8584962029,-0.5406656945,0.1363914946
iter80,-0.8842553564,-1.2994543016,-0.5820323939,-0.4222494621,0.1087409722,1.3979838291,0.0108902978,0.0316463152,-1.9324181476,-1.0168655451,-1.1060105866,-1.2602108972,-0.5716454011,-0.2461689363,-1.3542107831,-1.0158054787
iter81,1.763734853,2.1943703248,1.9275473709,1.9345170741,0.5500726737,0.6786669942,0.7554908873,0.0840189049,-2.4840827746,-3.0206767279,-0.5268767947,-1.9585120932,-0.8658665355,-0.425998145,-0.2786765982,-0.5095371116
iter82,0.2926291811,-1.4535936234,-0.8302325904,-0.1603865137,-0.6452006847,-1.9160115887,-1.8092444767,-1.818851854,0.5500726737,2.0402310031,1.4587247775,2.2487526122,-2.0795287148,-0.9911756581,-1.147377286,-1.5220738457
iter83,2.1131224501,-0.7342767885,1.1553689817,0.5204571523,-0.222257804,-0.3489284841,0.7417019875,0.5902872719,2.2234553755,2.4255793075,0.3004571937,-0.3698768724,-3.2380244314,-2.5068789887,-2.0850224728,-1.5220738457
iter84,-2.3369722074,-2.2499801191,-1.933344575,-2.3600352808,2.8670641069,2.4255793075,0.4383461918,0.8521502204,-1.4359199833,-0.425998145,-1.6851443785,-1.1729232478,0.9914043753,1.0126355247,0.6589685887,1.0267255194
iter85,1.4511248978,-0.0663397276,0.3004571937,1.1838432885,1.0649596589,0.9355658638,-0.2097320991,-0.78885759,-0.9210329982,0.1391793681,0.1625681956,-0.5095371116,0.9362379126,0.807116429,1.5552470761,2.981968868
iter86,-0.3142019085,1.8860916813,0.2039348951,0.2585942039,-1.4175311624,-0.2461689363,-0.0442653015,0.7823201008,0.6052391364,-1.1710048669,1.6241915751,0.9918104596,1.8556789575,2.9650669336,0.9485354846,1.602824006
iter87,0.494906211,1.2695343943,0.7830686869,0.572829742,-2.6863598044,-2.352739667,-3.2432900566,-3.4249446046,1.1017373007,-0.5801374668,0.5486573902,1.0092679895,-0.8842553564,-1.1710048669,-1.2438995846,-1.818851854
iter88,-1.6381970132,-1.9160115887,-2.0988113727,-2.6568132891,-0.5532565802,-1.1453149799,-1.4920997812,-0.8936027694,-0.5348677593,-0.6058273537,-0.8715992899,0.5204571523,-0.222257804,0.807116429,0.5486573902,1.3584185874
iter89,0.9362379126,2.091610777,0.7830686869,0.7124899812,1.046570838,1.8604017944,-0.7750769912,0.8696077503,0.494906211,0.832806316,0.5900240896,0.0840189049,2.8854529278,3.8642129772,1.2518912804,0.8870652802
iter90,-2.410527491,-1.8132520408,-1.9471334748,-1.8712244437,-1.491086446,-1.5306632843,-2.2918559699,-2.3949503406,-0.2590354458,0.164869255,0.6038129895,0.4855420926,1.6717907485,2.5026489684,0.7968575867,1.5504514163
iter91,-1.3807535206,-0.4003082581,-0.3338321974,-0.5793672312,-1.5278640878,-1.1966947538,-0.2648876984,-0.4047919322,-2.0611398939,-0.4773779189,0.7830686869,1.4631637668,-1.3439758788,-0.8884161103,-0.5130878949,-0.6666548807
iter92,2.3337883009,-0.3232385972,1.0312688835,1.4806212967,1.8005124948,2.091610777,-0.6923435924,-0.282589223,-1.4175311624,-1.3765239625,-1.4093663823,-0.78885759,-0.0751472368,-1.1196250929,0.7417019875,1.3409610576
iter93,1.4695137187,2.8109276119,0.852013186,1.3235035277,2.6280094353,2.4769590814,2.0792252688,2.4757005009,-0.8658665355,0.1391793681,0.2177237949,-0.1953015735,-1.1784764908,-1.9417014756,-0.8164436906,-1.818851854
iter94,0.6236279573,1.3722939421,0.8106464866,0.7823201008,1.8005124948,0.832806316,1.0174799837,0.1887640843,-2.9621921179,-2.5582587627,-2.2504892705,-2.8663036479,-1.6198081923,-0.2718588233,0.2177237949,1.8821444844
iter95,1.6534019276,3.0935163684,1.8310250722,2.0916348432,0.67879442,1.6035029248,-1.1335883862,-0.0381838044,-0.4613124757,0.0107299333,1.0174799837,1.2013008184,-0.3877571921,-1.3508340756,-0.361409997,-1.2078383075
iter96,0.5868503155,0.9355658638,0.4797128912,0.7124899812,2.0579559874,2.6567882901,2.2171142668,1.9170595442,-0.1854801622,0.7814265421,-1.5886220798,-1.3300410168,-1.9875846103,-1.6334228321,-2.1263891723,-2.7266434087
iter97,-1.9140293267,-2.994986841,-0.7750769912,-1.1903807777,-0.590034222,-0.7085869016,-0.9543326887,-1.4522437261,-1.1049212072,-2.5839486496,1.2105245809,2.9295962783,1.5982354649,1.9888512292,0.9485354846,1.0441830493
iter98,-0.4429236548,-0.1690992754,0.134990396,-0.1254714539,0.4581285692,1.6035029248,1.1002133825,1.271130938,-0.1119248786,0.8841860899,0.1212014962,0.7124899812,0.5132950319,1.7833321335,1.7207138738,2.7201059195
iter99,-0.0567584159,0.3190085768,-0.6923435924,-1.2776684271,0.8259049872,1.6548826987,-0.5268767947,0.3982544431,0.311018002,0.4731478986,0.0246791976,-0.5269946415,-1.3991423415,-0.4773779189,-1.2714773843,-1.0681780684
iter100,1.1936814052,0.6529771073,1.4311469779,1.3409610576,-1.2888094161,-1.6077329452,-1.2852662841,-0.4047919322,0.4581285692,2.0145411161,0.3556127929,0.5553722121,4.3381697788,4.6862893599,1.2518912804,1.4806212967
